shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1000000
 test_time == 9.061398
 Throughput == 110358.247149
 ======================================
10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets       111277.32    111277.32         0.00      0.08800    116046.56 
Waits           0.00          ---          ---      0.00000          --- 
Totals     111277.32    111277.32         0.00      0.08800    116046.56 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.025         0.00
GET       0.026         0.00
GET       0.027         0.02
GET       0.028         0.07
GET       0.029         0.12
GET       0.030         0.15
GET       0.031         0.23
GET       0.032         0.36
GET       0.033         0.44
GET       0.034         0.48
GET       0.035         0.49
GET       0.036         0.49
GET       0.037         0.50
GET       0.038         0.50
GET       0.039         0.50
GET       0.040         0.50
GET       0.041         0.51
GET       0.042         0.53
GET       0.043         0.54
GET       0.044         0.54
GET       0.045         0.55
GET       0.046         0.56
GET       0.047         0.57
GET       0.048         0.58
GET       0.049         0.59
GET       0.050         0.60
GET       0.051         0.62
GET       0.052         0.64
GET       0.053         0.67
GET       0.054         0.70
GET       0.055         0.74
GET       0.056         0.78
GET       0.057         0.83
GET       0.058         0.89
GET       0.059         0.97
GET       0.060         1.07
GET       0.061         1.21
GET       0.062         1.40
GET       0.063         1.67
GET       0.064         2.04
GET       0.065         2.49
GET       0.066         3.02
GET       0.067         3.59
GET       0.068         4.26
GET       0.069         5.03
GET       0.070         5.94
GET       0.071         6.97
GET       0.072         8.18
GET       0.073         9.61
GET       0.074        11.36
GET       0.075        13.56
GET       0.076        16.36
GET       0.077        19.85
GET       0.078        24.00
GET       0.079        28.74
GET       0.080        33.82
GET       0.081        38.81
GET       0.082        43.33
GET       0.083        47.23
GET       0.084        50.64
GET       0.085        53.52
GET       0.086        56.02
GET       0.087        58.29
GET       0.088        60.39
GET       0.089        62.40
GET       0.090        64.34
GET       0.091        66.18
GET       0.092        67.92
GET       0.093        69.54
GET       0.094        71.09
GET       0.095        72.60
GET       0.096        74.08
GET       0.097        75.56
GET       0.098        76.99
GET       0.099        78.33
GET       0.100        83.71
GET       0.110        93.73
GET       0.120        97.42
GET       0.130        98.70
GET       0.140        99.28
GET       0.150        99.57
GET       0.160        99.73
GET       0.170        99.78
GET       0.180        99.83
GET       0.190        99.86
GET       0.200        99.89
GET       0.210        99.92
GET       0.220        99.94
GET       0.230        99.95
GET       0.240        99.95
GET       0.250        99.96
GET       0.260        99.97
GET       0.270        99.97
GET       0.280        99.98
GET       0.290        99.98
GET       0.300        99.98
GET       0.310        99.98
GET       0.320        99.99
GET       0.330        99.99
GET       0.340        99.99
GET       0.350        99.99
GET       0.360        99.99
GET       0.370        99.99
GET       0.380        99.99
GET       0.390        99.99
GET       0.400        99.99
GET       0.410        99.99
GET       0.420        99.99
GET       0.430        99.99
GET       0.440        99.99
GET       0.450        99.99
GET       0.460        99.99
GET       0.470        99.99
GET       0.480        99.99
GET       0.490       100.00
GET       0.500       100.00
GET       0.510       100.00
GET       0.520       100.00
GET       0.530       100.00
GET       0.540       100.00
GET       0.550       100.00
GET       0.560       100.00
GET       0.570       100.00
GET       0.600       100.00
GET       0.610       100.00
GET       0.630       100.00
GET       0.640       100.00
GET       0.690       100.00
GET       1.700       100.00
GET       2.100       100.00
GET       2.200       100.00
GET       2.900       100.00
GET       3.000       100.00
GET       4.100       100.00
---
