shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1000000
 test_time == 12.403181
 Throughput == 80624.478511
 ======================================
10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        82511.60          ---          ---      0.12200     86450.85 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      82511.60         0.00         0.00      0.12200     86450.85 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.029         0.00
SET       0.030         0.00
SET       0.031         0.00
SET       0.032         0.00
SET       0.033         0.01
SET       0.034         0.01
SET       0.035         0.02
SET       0.036         0.04
SET       0.037         0.06
SET       0.038         0.08
SET       0.039         0.09
SET       0.040         0.12
SET       0.041         0.20
SET       0.042         0.33
SET       0.043         0.47
SET       0.044         0.57
SET       0.045         0.65
SET       0.046         0.71
SET       0.047         0.76
SET       0.048         0.82
SET       0.049         0.88
SET       0.050         0.93
SET       0.051         0.99
SET       0.052         1.05
SET       0.053         1.13
SET       0.054         1.25
SET       0.055         1.39
SET       0.056         1.54
SET       0.057         1.66
SET       0.058         1.76
SET       0.059         1.83
SET       0.060         1.91
SET       0.061         1.98
SET       0.062         2.04
SET       0.063         2.12
SET       0.064         2.19
SET       0.065         2.26
SET       0.066         2.33
SET       0.067         2.41
SET       0.068         2.49
SET       0.069         2.58
SET       0.070         2.68
SET       0.071         2.77
SET       0.072         2.85
SET       0.073         2.94
SET       0.074         3.05
SET       0.075         3.19
SET       0.076         3.39
SET       0.077         3.64
SET       0.078         3.98
SET       0.079         4.40
SET       0.080         4.92
SET       0.081         5.59
SET       0.082         6.43
SET       0.083         7.55
SET       0.084         8.98
SET       0.085        10.76
SET       0.086        12.87
SET       0.087        15.24
SET       0.088        17.78
SET       0.089        20.35
SET       0.090        22.85
SET       0.091        25.32
SET       0.092        27.75
SET       0.093        30.06
SET       0.094        32.12
SET       0.095        34.05
SET       0.096        35.84
SET       0.097        37.49
SET       0.098        39.08
SET       0.099        40.62
SET       0.100        47.83
SET       0.110        61.29
SET       0.120        73.16
SET       0.130        84.48
SET       0.140        92.28
SET       0.150        96.35
SET       0.160        98.42
SET       0.170        99.17
SET       0.180        99.43
SET       0.190        99.56
SET       0.200        99.64
SET       0.210        99.71
SET       0.220        99.75
SET       0.230        99.79
SET       0.240        99.81
SET       0.250        99.83
SET       0.260        99.84
SET       0.270        99.85
SET       0.280        99.86
SET       0.290        99.87
SET       0.300        99.88
SET       0.310        99.88
SET       0.320        99.89
SET       0.330        99.89
SET       0.340        99.90
SET       0.350        99.90
SET       0.360        99.90
SET       0.370        99.90
SET       0.380        99.91
SET       0.390        99.91
SET       0.400        99.91
SET       0.410        99.91
SET       0.420        99.91
SET       0.430        99.91
SET       0.440        99.92
SET       0.450        99.92
SET       0.460        99.92
SET       0.470        99.92
SET       0.480        99.92
SET       0.490        99.92
SET       0.500        99.92
SET       0.510        99.92
SET       0.520        99.92
SET       0.530        99.92
SET       0.540        99.93
SET       0.550        99.93
SET       0.560        99.93
SET       0.570        99.93
SET       0.580        99.93
SET       0.590        99.93
SET       0.600        99.93
SET       0.610        99.93
SET       0.620        99.93
SET       0.630        99.93
SET       0.640        99.93
SET       0.650        99.93
SET       0.660        99.94
SET       0.670        99.94
SET       0.680        99.94
SET       0.690        99.94
SET       0.700        99.94
SET       0.720        99.94
SET       0.730        99.94
SET       0.740        99.94
SET       0.750        99.94
SET       0.760        99.94
SET       0.770        99.94
SET       0.780        99.94
SET       0.790        99.94
SET       0.800        99.94
SET       0.810        99.94
SET       0.830        99.94
SET       0.850        99.94
SET       0.870        99.94
SET       0.880        99.94
SET       0.890        99.94
SET       0.930        99.94
SET       0.970        99.94
SET       0.980        99.94
SET       0.990        99.94
SET       1.000        99.95
SET       1.100        99.95
SET       1.200        99.95
SET       1.300        99.95
SET       1.400        99.95
SET       1.500        99.95
SET       1.600        99.96
SET       1.700        99.96
SET       1.800        99.96
SET       1.900        99.96
SET       2.000        99.96
SET       2.100        99.96
SET       2.300        99.96
SET       2.500        99.96
SET       2.700        99.96
SET       3.200        99.96
SET       3.300        99.96
SET       4.300        99.96
SET       4.400        99.97
SET       5.600        99.97
SET       5.700        99.97
SET       5.800        99.97
SET       5.900        99.97
SET       6.000        99.97
SET       6.100        99.97
SET       6.200        99.97
SET       6.300        99.97
SET       6.400        99.97
SET       6.500        99.97
SET       6.800        99.97
SET       6.900        99.97
SET       8.000        99.97
SET       8.100        99.97
SET       8.700        99.98
SET       8.800        99.98
SET       9.200        99.98
SET       9.500        99.98
SET       9.600        99.98
SET       9.900        99.98
SET      15.000        99.98
SET      16.000        99.98
SET      17.000        99.98
SET      19.000        99.99
SET      20.000        99.99
SET      21.000        99.99
SET      24.000        99.99
SET      26.000        99.99
SET      27.000        99.99
SET      32.000        99.99
SET      35.000        99.99
SET      36.000        99.99
SET      37.000        99.99
SET      38.000        99.99
SET      39.000       100.00
SET      40.000       100.00
SET      42.000       100.00
SET     100.000       100.00
SET     240.000       100.00
SET     300.000       100.00
---
---
