shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1000000
 test_time == 9.498966
 Throughput == 105274.616206
 ======================================
10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets       105049.01    105049.01         0.00      0.09300    109551.31 
Waits           0.00          ---          ---      0.00000          --- 
Totals     105049.01    105049.01         0.00      0.09300    109551.31 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.024         0.00
GET       0.025         0.00
GET       0.026         0.02
GET       0.027         0.08
GET       0.028         0.16
GET       0.029         0.23
GET       0.030         0.25
GET       0.031         0.26
GET       0.032         0.26
GET       0.033         0.27
GET       0.034         0.28
GET       0.035         0.28
GET       0.036         0.29
GET       0.037         0.30
GET       0.038         0.31
GET       0.039         0.32
GET       0.040         0.33
GET       0.041         0.33
GET       0.042         0.34
GET       0.043         0.35
GET       0.044         0.36
GET       0.045         0.37
GET       0.046         0.38
GET       0.047         0.38
GET       0.048         0.39
GET       0.049         0.40
GET       0.050         0.40
GET       0.051         0.42
GET       0.052         0.43
GET       0.053         0.46
GET       0.054         0.50
GET       0.055         0.53
GET       0.056         0.57
GET       0.057         0.59
GET       0.058         0.62
GET       0.059         0.67
GET       0.060         0.71
GET       0.061         0.77
GET       0.062         0.86
GET       0.063         1.01
GET       0.064         1.24
GET       0.065         1.60
GET       0.066         2.10
GET       0.067         2.74
GET       0.068         3.43
GET       0.069         4.17
GET       0.070         4.88
GET       0.071         5.53
GET       0.072         6.12
GET       0.073         6.74
GET       0.074         7.45
GET       0.075         8.25
GET       0.076         9.20
GET       0.077        10.30
GET       0.078        11.65
GET       0.079        13.35
GET       0.080        15.46
GET       0.081        18.09
GET       0.082        21.36
GET       0.083        25.34
GET       0.084        30.13
GET       0.085        35.13
GET       0.086        39.97
GET       0.087        44.18
GET       0.088        47.76
GET       0.089        50.86
GET       0.090        53.64
GET       0.091        56.24
GET       0.092        58.77
GET       0.093        61.16
GET       0.094        63.46
GET       0.095        65.59
GET       0.096        67.46
GET       0.097        69.04
GET       0.098        70.40
GET       0.099        71.65
GET       0.100        77.83
GET       0.110        87.85
GET       0.120        96.80
GET       0.130        99.17
GET       0.140        99.71
GET       0.150        99.83
GET       0.160        99.88
GET       0.170        99.89
GET       0.180        99.91
GET       0.190        99.92
GET       0.200        99.92
GET       0.210        99.94
GET       0.220        99.94
GET       0.230        99.96
GET       0.240        99.97
GET       0.250        99.97
GET       0.260        99.97
GET       0.270        99.98
GET       0.280        99.98
GET       0.290        99.98
GET       0.300        99.98
GET       0.310        99.99
GET       0.320        99.99
GET       0.330        99.99
GET       0.340        99.99
GET       0.350        99.99
GET       0.360        99.99
GET       0.370       100.00
GET       0.380       100.00
GET       0.390       100.00
GET       0.400       100.00
GET       0.410       100.00
GET       0.420       100.00
GET       0.430       100.00
GET       0.440       100.00
GET       0.450       100.00
GET       0.460       100.00
GET       0.490       100.00
GET       0.530       100.00
GET       0.550       100.00
GET       0.570       100.00
GET       0.580       100.00
GET       0.600       100.00
GET       0.610       100.00
GET       0.620       100.00
GET       0.630       100.00
GET       0.650       100.00
GET       0.660       100.00
GET       0.830       100.00
GET       0.840       100.00
GET       0.860       100.00
GET       0.880       100.00
GET       0.910       100.00
GET       0.920       100.00
GET       0.930       100.00
GET       0.950       100.00
GET       1.000       100.00
GET       4.100       100.00
---
