shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1000000
 test_time == 13.091515
 Throughput == 76385.353414
 ======================================
10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        76500.03          ---          ---      0.12800     80152.28 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      76500.03         0.00         0.00      0.12800     80152.28 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.038         0.00
SET       0.039         0.00
SET       0.040         0.00
SET       0.041         0.00
SET       0.042         0.01
SET       0.043         0.03
SET       0.044         0.05
SET       0.045         0.06
SET       0.046         0.07
SET       0.047         0.09
SET       0.048         0.11
SET       0.049         0.14
SET       0.050         0.16
SET       0.051         0.18
SET       0.052         0.19
SET       0.053         0.20
SET       0.054         0.21
SET       0.055         0.22
SET       0.056         0.23
SET       0.057         0.25
SET       0.058         0.27
SET       0.059         0.29
SET       0.060         0.31
SET       0.061         0.32
SET       0.062         0.33
SET       0.063         0.34
SET       0.064         0.36
SET       0.065         0.37
SET       0.066         0.38
SET       0.067         0.39
SET       0.068         0.40
SET       0.069         0.41
SET       0.070         0.42
SET       0.071         0.43
SET       0.072         0.44
SET       0.073         0.46
SET       0.074         0.48
SET       0.075         0.50
SET       0.076         0.53
SET       0.077         0.55
SET       0.078         0.57
SET       0.079         0.58
SET       0.080         0.60
SET       0.081         0.61
SET       0.082         0.63
SET       0.083         0.65
SET       0.084         0.67
SET       0.085         0.71
SET       0.086         0.77
SET       0.087         0.85
SET       0.088         0.95
SET       0.089         1.09
SET       0.090         1.26
SET       0.091         1.45
SET       0.092         1.68
SET       0.093         1.97
SET       0.094         2.29
SET       0.095         2.60
SET       0.096         2.91
SET       0.097         3.20
SET       0.098         3.49
SET       0.099         3.82
SET       0.100         6.43
SET       0.110        27.80
SET       0.120        54.63
SET       0.130        70.77
SET       0.140        79.01
SET       0.150        84.99
SET       0.160        90.02
SET       0.170        94.62
SET       0.180        97.92
SET       0.190        98.97
SET       0.200        99.43
SET       0.210        99.60
SET       0.220        99.69
SET       0.230        99.79
SET       0.240        99.87
SET       0.250        99.92
SET       0.260        99.95
SET       0.270        99.97
SET       0.280        99.98
SET       0.290        99.98
SET       0.300        99.98
SET       0.310        99.98
SET       0.320        99.98
SET       0.330        99.98
SET       0.340        99.99
SET       0.350        99.99
SET       0.360        99.99
SET       0.370        99.99
SET       0.380        99.99
SET       0.390        99.99
SET       0.400        99.99
SET       0.410        99.99
SET       0.430        99.99
SET       0.450        99.99
SET       0.490        99.99
SET       0.500        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.540        99.99
SET       0.550        99.99
SET       0.580        99.99
SET       0.590        99.99
SET       0.600        99.99
SET       0.610        99.99
SET       0.620        99.99
SET       0.640        99.99
SET       0.650       100.00
SET       0.660       100.00
SET       0.670       100.00
SET       0.680       100.00
SET       0.690       100.00
SET       0.740       100.00
SET       0.770       100.00
SET       0.780       100.00
SET       0.790       100.00
SET       0.810       100.00
SET       0.820       100.00
SET       0.840       100.00
SET       0.850       100.00
SET       0.860       100.00
SET       0.870       100.00
SET       0.890       100.00
SET       0.900       100.00
SET       0.920       100.00
SET       0.960       100.00
SET       1.000       100.00
SET       2.000       100.00
SET       2.100       100.00
SET       2.200       100.00
SET       6.600       100.00
SET       6.700       100.00
---
---
