shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1000000
 test_time == 9.215784
 Throughput == 108509.487636
 ======================================
10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets       109201.47    109201.47         0.00      0.09000    113881.73 
Waits           0.00          ---          ---      0.00000          --- 
Totals     109201.47    109201.47         0.00      0.09000    113881.73 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.014         0.00
GET       0.015         0.01
GET       0.016         0.01
GET       0.017         0.01
GET       0.018         0.02
GET       0.019         0.04
GET       0.020         0.10
GET       0.021         0.19
GET       0.022         0.23
GET       0.023         0.25
GET       0.024         0.26
GET       0.025         0.29
GET       0.026         0.34
GET       0.027         0.42
GET       0.028         0.49
GET       0.029         0.56
GET       0.030         0.62
GET       0.031         0.66
GET       0.032         0.71
GET       0.033         0.74
GET       0.034         0.76
GET       0.035         0.77
GET       0.036         0.79
GET       0.037         0.81
GET       0.038         0.84
GET       0.039         0.85
GET       0.040         0.88
GET       0.041         0.91
GET       0.042         0.95
GET       0.043         0.97
GET       0.044         0.98
GET       0.045         0.99
GET       0.046         1.00
GET       0.047         1.01
GET       0.048         1.02
GET       0.049         1.02
GET       0.050         1.03
GET       0.051         1.04
GET       0.052         1.05
GET       0.053         1.06
GET       0.054         1.07
GET       0.055         1.09
GET       0.056         1.10
GET       0.057         1.11
GET       0.058         1.12
GET       0.059         1.14
GET       0.060         1.17
GET       0.061         1.20
GET       0.062         1.25
GET       0.063         1.32
GET       0.064         1.39
GET       0.065         1.48
GET       0.066         1.58
GET       0.067         1.73
GET       0.068         1.94
GET       0.069         2.24
GET       0.070         2.68
GET       0.071         3.30
GET       0.072         4.09
GET       0.073         5.11
GET       0.074         6.40
GET       0.075         8.11
GET       0.076        10.44
GET       0.077        13.50
GET       0.078        17.44
GET       0.079        22.21
GET       0.080        27.55
GET       0.081        33.05
GET       0.082        38.21
GET       0.083        42.72
GET       0.084        46.64
GET       0.085        50.01
GET       0.086        52.95
GET       0.087        55.63
GET       0.088        57.97
GET       0.089        60.00
GET       0.090        61.78
GET       0.091        63.41
GET       0.092        64.99
GET       0.093        66.54
GET       0.094        68.08
GET       0.095        69.66
GET       0.096        71.17
GET       0.097        72.68
GET       0.098        74.15
GET       0.099        75.60
GET       0.100        81.46
GET       0.110        92.91
GET       0.120        97.49
GET       0.130        98.88
GET       0.140        99.40
GET       0.150        99.62
GET       0.160        99.76
GET       0.170        99.83
GET       0.180        99.88
GET       0.190        99.90
GET       0.200        99.92
GET       0.210        99.94
GET       0.220        99.95
GET       0.230        99.97
GET       0.240        99.98
GET       0.250        99.98
GET       0.260        99.98
GET       0.270        99.98
GET       0.280        99.98
GET       0.290        99.99
GET       0.300        99.99
GET       0.310        99.99
GET       0.320        99.99
GET       0.330        99.99
GET       0.340        99.99
GET       0.350        99.99
GET       0.360        99.99
GET       0.370        99.99
GET       0.380        99.99
GET       0.390        99.99
GET       0.400       100.00
GET       0.410       100.00
GET       0.420       100.00
GET       0.430       100.00
GET       0.440       100.00
GET       0.500       100.00
GET       0.520       100.00
GET       0.550       100.00
GET       0.580       100.00
GET       0.620       100.00
GET       0.630       100.00
GET       0.650       100.00
GET       1.000       100.00
GET       1.800       100.00
GET       1.900       100.00
GET       2.000       100.00
GET       2.300       100.00
GET       2.400       100.00
---
