shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1000000
 test_time == 12.099330
 Throughput == 82649.204543
 ======================================
10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        82686.26          ---          ---      0.11900     86633.85 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      82686.26         0.00         0.00      0.11900     86633.85 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.036         0.00
SET       0.037         0.00
SET       0.039         0.00
SET       0.040         0.00
SET       0.042         0.00
SET       0.045         0.00
SET       0.046         0.00
SET       0.047         0.01
SET       0.048         0.02
SET       0.049         0.02
SET       0.050         0.02
SET       0.051         0.02
SET       0.052         0.03
SET       0.053         0.03
SET       0.054         0.03
SET       0.055         0.03
SET       0.056         0.03
SET       0.057         0.03
SET       0.058         0.03
SET       0.059         0.03
SET       0.060         0.04
SET       0.061         0.04
SET       0.062         0.04
SET       0.063         0.04
SET       0.064         0.05
SET       0.065         0.05
SET       0.066         0.05
SET       0.067         0.05
SET       0.068         0.05
SET       0.069         0.06
SET       0.070         0.06
SET       0.071         0.06
SET       0.072         0.06
SET       0.073         0.06
SET       0.074         0.07
SET       0.075         0.07
SET       0.076         0.08
SET       0.077         0.08
SET       0.078         0.08
SET       0.079         0.09
SET       0.080         0.10
SET       0.081         0.10
SET       0.082         0.11
SET       0.083         0.12
SET       0.084         0.13
SET       0.085         0.14
SET       0.086         0.15
SET       0.087         0.17
SET       0.088         0.19
SET       0.089         0.20
SET       0.090         0.23
SET       0.091         0.27
SET       0.092         0.34
SET       0.093         0.45
SET       0.094         0.63
SET       0.095         0.93
SET       0.096         1.42
SET       0.097         2.21
SET       0.098         3.40
SET       0.099         5.07
SET       0.100        18.14
SET       0.110        52.18
SET       0.120        71.90
SET       0.130        83.61
SET       0.140        91.25
SET       0.150        94.92
SET       0.160        97.44
SET       0.170        98.78
SET       0.180        99.17
SET       0.190        99.34
SET       0.200        99.44
SET       0.210        99.53
SET       0.220        99.72
SET       0.230        99.83
SET       0.240        99.88
SET       0.250        99.91
SET       0.260        99.94
SET       0.270        99.95
SET       0.280        99.96
SET       0.290        99.97
SET       0.300        99.97
SET       0.310        99.98
SET       0.320        99.98
SET       0.330        99.98
SET       0.340        99.98
SET       0.350        99.99
SET       0.360        99.99
SET       0.370        99.99
SET       0.380        99.99
SET       0.390        99.99
SET       0.400        99.99
SET       0.410        99.99
SET       0.420        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.450        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.540        99.99
SET       0.560        99.99
SET       0.570        99.99
SET       0.590        99.99
SET       0.600        99.99
SET       0.610        99.99
SET       0.620        99.99
SET       0.630        99.99
SET       0.640        99.99
SET       0.650        99.99
SET       0.660        99.99
SET       0.670       100.00
SET       0.680       100.00
SET       0.690       100.00
SET       0.700       100.00
SET       0.710       100.00
SET       0.750       100.00
SET       0.760       100.00
SET       0.830       100.00
SET       0.840       100.00
SET       0.850       100.00
SET       0.870       100.00
SET       0.880       100.00
SET       0.920       100.00
SET       0.940       100.00
SET       1.000       100.00
SET       1.100       100.00
SET       1.900       100.00
SET       2.900       100.00
SET       3.000       100.00
---
---
