20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        61174.76          ---          ---      0.32300     64095.35 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      61174.76         0.00         0.00      0.32300     64095.35 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.046         0.00
SET       0.047         0.00
SET       0.048         0.00
SET       0.049         0.00
SET       0.050         0.00
SET       0.052         0.00
SET       0.053         0.00
SET       0.054         0.00
SET       0.056         0.00
SET       0.057         0.00
SET       0.058         0.00
SET       0.059         0.00
SET       0.060         0.00
SET       0.061         0.00
SET       0.062         0.00
SET       0.063         0.00
SET       0.064         0.00
SET       0.065         0.00
SET       0.066         0.00
SET       0.067         0.00
SET       0.068         0.00
SET       0.069         0.00
SET       0.070         0.00
SET       0.071         0.00
SET       0.072         0.00
SET       0.073         0.01
SET       0.074         0.01
SET       0.075         0.01
SET       0.076         0.01
SET       0.077         0.01
SET       0.078         0.01
SET       0.079         0.01
SET       0.080         0.01
SET       0.081         0.01
SET       0.082         0.01
SET       0.083         0.01
SET       0.084         0.01
SET       0.085         0.01
SET       0.086         0.01
SET       0.087         0.01
SET       0.088         0.01
SET       0.089         0.01
SET       0.090         0.01
SET       0.091         0.01
SET       0.092         0.01
SET       0.093         0.01
SET       0.094         0.01
SET       0.095         0.01
SET       0.096         0.01
SET       0.097         0.01
SET       0.098         0.01
SET       0.099         0.01
SET       0.100         0.02
SET       0.110         0.02
SET       0.120         0.03
SET       0.130         0.03
SET       0.140         0.04
SET       0.150         0.04
SET       0.160         0.05
SET       0.170         0.05
SET       0.180         0.06
SET       0.190         0.06
SET       0.200         0.07
SET       0.210         0.08
SET       0.220         0.09
SET       0.230         0.09
SET       0.240         0.10
SET       0.250         0.10
SET       0.260         0.15
SET       0.270         1.08
SET       0.280         8.93
SET       0.290        32.59
SET       0.300        59.43
SET       0.310        72.65
SET       0.320        79.09
SET       0.330        83.65
SET       0.340        86.42
SET       0.350        87.40
SET       0.360        87.81
SET       0.370        88.00
SET       0.380        88.08
SET       0.390        88.15
SET       0.400        88.31
SET       0.410        88.81
SET       0.420        89.65
SET       0.430        90.93
SET       0.440        92.31
SET       0.450        93.63
SET       0.460        95.03
SET       0.470        96.14
SET       0.480        96.69
SET       0.490        96.98
SET       0.500        97.17
SET       0.510        97.25
SET       0.520        97.28
SET       0.530        97.30
SET       0.540        97.33
SET       0.550        97.37
SET       0.560        97.45
SET       0.570        97.61
SET       0.580        97.89
SET       0.590        98.27
SET       0.600        98.68
SET       0.610        99.09
SET       0.620        99.38
SET       0.630        99.62
SET       0.640        99.77
SET       0.650        99.86
SET       0.660        99.92
SET       0.670        99.95
SET       0.680        99.97
SET       0.690        99.97
SET       0.700        99.98
SET       0.710        99.98
SET       0.720        99.98
SET       0.730        99.99
SET       0.740        99.99
SET       0.750        99.99
SET       0.760        99.99
SET       0.770        99.99
SET       0.780        99.99
SET       0.790        99.99
SET       0.800        99.99
SET       0.810        99.99
SET       0.820        99.99
SET       0.830        99.99
SET       0.840        99.99
SET       0.850        99.99
SET       0.860        99.99
SET       0.870        99.99
SET       0.880        99.99
SET       0.890        99.99
SET       0.900        99.99
SET       0.910        99.99
SET       0.920        99.99
SET       0.930        99.99
SET       0.940        99.99
SET       0.950        99.99
SET       0.960        99.99
SET       0.970        99.99
SET       0.980        99.99
SET       0.990        99.99
SET       1.000        99.99
SET       1.100        99.99
SET       1.200        99.99
SET       1.300        99.99
SET       1.400        99.99
SET       1.500        99.99
SET       1.700       100.00
SET       2.200       100.00
SET       2.300       100.00
SET       2.400       100.00
SET       2.500       100.00
SET       2.600       100.00
SET       2.700       100.00
SET       2.900       100.00
SET       3.000       100.00
SET       3.100       100.00
---
---
