5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        54266.93          ---          ---      0.08800     56857.73 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      54266.93         0.00         0.00      0.08800     56857.73 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.036         0.00
SET       0.037         0.02
SET       0.038         0.07
SET       0.039         0.17
SET       0.040         0.31
SET       0.041         0.47
SET       0.042         0.63
SET       0.043         0.80
SET       0.044         0.94
SET       0.045         1.06
SET       0.046         1.17
SET       0.047         1.25
SET       0.048         1.31
SET       0.049         1.34
SET       0.050         1.36
SET       0.051         1.40
SET       0.052         1.44
SET       0.053         1.49
SET       0.054         1.55
SET       0.055         1.63
SET       0.056         1.72
SET       0.057         1.81
SET       0.058         1.91
SET       0.059         2.01
SET       0.060         2.14
SET       0.061         2.29
SET       0.062         2.46
SET       0.063         2.68
SET       0.064         3.02
SET       0.065         3.60
SET       0.066         4.64
SET       0.067         6.31
SET       0.068         8.61
SET       0.069        11.46
SET       0.070        14.47
SET       0.071        17.63
SET       0.072        20.61
SET       0.073        23.31
SET       0.074        25.72
SET       0.075        27.87
SET       0.076        29.81
SET       0.077        31.60
SET       0.078        33.19
SET       0.079        34.67
SET       0.080        36.05
SET       0.081        37.45
SET       0.082        38.89
SET       0.083        40.49
SET       0.084        42.35
SET       0.085        44.48
SET       0.086        46.80
SET       0.087        49.24
SET       0.088        51.63
SET       0.089        53.94
SET       0.090        55.98
SET       0.091        57.70
SET       0.092        59.13
SET       0.093        60.25
SET       0.094        61.14
SET       0.095        61.97
SET       0.096        62.90
SET       0.097        64.07
SET       0.098        65.53
SET       0.099        67.41
SET       0.100        80.91
SET       0.110        96.74
SET       0.120        98.75
SET       0.130        99.65
SET       0.140        99.88
SET       0.150        99.93
SET       0.160        99.95
SET       0.170        99.95
SET       0.180        99.96
SET       0.190        99.96
SET       0.200        99.97
SET       0.210        99.98
SET       0.220        99.98
SET       0.230        99.98
SET       0.240        99.98
SET       0.250        99.98
SET       0.270        99.98
SET       0.330        99.98
SET       0.340        99.98
SET       0.360        99.98
SET       0.370        99.98
SET       0.380        99.99
SET       0.390        99.99
SET       0.410        99.99
SET       0.420        99.99
SET       0.430        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.490        99.99
SET       0.540        99.99
SET       0.570        99.99
SET       0.600        99.99
SET       0.620        99.99
SET       0.900        99.99
SET       0.910        99.99
SET       0.920        99.99
SET       0.930        99.99
SET       0.940        99.99
SET       0.950        99.99
SET       0.960        99.99
SET       0.970        99.99
SET       0.980        99.99
SET       0.990        99.99
SET       1.000        99.99
SET       1.400        99.99
SET       2.000        99.99
SET       2.100       100.00
SET       2.200       100.00
SET       2.300       100.00
---
---
