15        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        83312.98          ---          ---      0.17700     87290.49 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      83312.98         0.00         0.00      0.17700     87290.49 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.035         0.00
SET       0.036         0.00
SET       0.037         0.00
SET       0.038         0.00
SET       0.039         0.00
SET       0.040         0.00
SET       0.041         0.00
SET       0.042         0.00
SET       0.043         0.00
SET       0.044         0.00
SET       0.045         0.01
SET       0.046         0.01
SET       0.047         0.01
SET       0.048         0.01
SET       0.049         0.01
SET       0.050         0.01
SET       0.051         0.01
SET       0.052         0.01
SET       0.053         0.01
SET       0.054         0.02
SET       0.055         0.02
SET       0.056         0.02
SET       0.057         0.02
SET       0.058         0.02
SET       0.059         0.02
SET       0.060         0.02
SET       0.061         0.02
SET       0.062         0.02
SET       0.063         0.02
SET       0.064         0.02
SET       0.065         0.03
SET       0.066         0.03
SET       0.067         0.03
SET       0.068         0.03
SET       0.069         0.03
SET       0.070         0.03
SET       0.071         0.03
SET       0.072         0.03
SET       0.073         0.03
SET       0.074         0.03
SET       0.075         0.03
SET       0.076         0.04
SET       0.077         0.04
SET       0.078         0.04
SET       0.079         0.04
SET       0.080         0.04
SET       0.081         0.04
SET       0.082         0.04
SET       0.083         0.04
SET       0.084         0.04
SET       0.085         0.04
SET       0.086         0.04
SET       0.087         0.04
SET       0.088         0.04
SET       0.089         0.04
SET       0.090         0.04
SET       0.091         0.04
SET       0.092         0.04
SET       0.093         0.04
SET       0.094         0.04
SET       0.095         0.05
SET       0.096         0.05
SET       0.097         0.05
SET       0.098         0.05
SET       0.099         0.05
SET       0.100         0.05
SET       0.110         0.06
SET       0.120         0.09
SET       0.130         0.11
SET       0.140         0.61
SET       0.150         9.65
SET       0.160        47.47
SET       0.170        69.65
SET       0.180        77.16
SET       0.190        81.89
SET       0.200        85.97
SET       0.210        88.44
SET       0.220        91.20
SET       0.230        94.85
SET       0.240        96.49
SET       0.250        96.95
SET       0.260        97.22
SET       0.270        97.36
SET       0.280        97.43
SET       0.290        97.54
SET       0.300        97.77
SET       0.310        98.30
SET       0.320        99.04
SET       0.330        99.54
SET       0.340        99.76
SET       0.350        99.88
SET       0.360        99.94
SET       0.370        99.97
SET       0.380        99.98
SET       0.390        99.98
SET       0.400        99.98
SET       0.410        99.98
SET       0.420        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.500        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.530        99.99
SET       0.540        99.99
SET       0.550        99.99
SET       0.560        99.99
SET       0.570        99.99
SET       0.580        99.99
SET       0.590        99.99
SET       0.600        99.99
SET       0.650        99.99
SET       0.660        99.99
SET       0.670        99.99
SET       0.680        99.99
SET       0.690        99.99
SET       0.700        99.99
SET       0.710        99.99
SET       0.720        99.99
SET       0.730        99.99
SET       0.740        99.99
SET       0.750        99.99
SET       0.760       100.00
SET       0.770       100.00
SET       0.780       100.00
SET       0.800       100.00
SET       0.810       100.00
SET       0.830       100.00
SET       0.850       100.00
SET       0.860       100.00
SET       0.890       100.00
SET       0.910       100.00
SET       0.940       100.00
SET       1.000       100.00
SET       1.100       100.00
SET       1.200       100.00
SET       1.300       100.00
SET       1.400       100.00
SET       1.500       100.00
SET       2.100       100.00
SET       2.200       100.00
SET       2.300       100.00
SET       2.400       100.00
---
---
