15        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        86914.99          ---          ---      0.16900     91064.47 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      86914.99         0.00         0.00      0.16900     91064.47 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.032         0.00
SET       0.033         0.00
SET       0.035         0.00
SET       0.036         0.00
SET       0.038         0.00
SET       0.039         0.00
SET       0.040         0.00
SET       0.041         0.00
SET       0.042         0.01
SET       0.043         0.01
SET       0.044         0.01
SET       0.045         0.01
SET       0.046         0.01
SET       0.047         0.02
SET       0.048         0.02
SET       0.049         0.02
SET       0.050         0.02
SET       0.051         0.02
SET       0.052         0.02
SET       0.053         0.02
SET       0.054         0.02
SET       0.055         0.03
SET       0.056         0.03
SET       0.057         0.03
SET       0.058         0.03
SET       0.059         0.03
SET       0.060         0.03
SET       0.061         0.03
SET       0.062         0.03
SET       0.063         0.03
SET       0.064         0.03
SET       0.065         0.03
SET       0.066         0.03
SET       0.067         0.04
SET       0.068         0.04
SET       0.069         0.04
SET       0.070         0.04
SET       0.071         0.04
SET       0.072         0.04
SET       0.073         0.04
SET       0.074         0.04
SET       0.075         0.04
SET       0.076         0.05
SET       0.077         0.05
SET       0.078         0.05
SET       0.079         0.05
SET       0.080         0.06
SET       0.081         0.06
SET       0.082         0.07
SET       0.083         0.07
SET       0.084         0.08
SET       0.085         0.08
SET       0.086         0.08
SET       0.087         0.09
SET       0.088         0.09
SET       0.089         0.09
SET       0.090         0.10
SET       0.091         0.11
SET       0.092         0.11
SET       0.093         0.12
SET       0.094         0.12
SET       0.095         0.12
SET       0.096         0.13
SET       0.097         0.13
SET       0.098         0.14
SET       0.099         0.14
SET       0.100         0.18
SET       0.110         0.24
SET       0.120         0.27
SET       0.130         0.51
SET       0.140         4.89
SET       0.150        32.79
SET       0.160        64.80
SET       0.170        74.58
SET       0.180        80.73
SET       0.190        85.41
SET       0.200        88.34
SET       0.210        91.27
SET       0.220        94.83
SET       0.230        96.58
SET       0.240        97.13
SET       0.250        97.43
SET       0.260        97.58
SET       0.270        97.68
SET       0.280        97.82
SET       0.290        98.11
SET       0.300        98.65
SET       0.310        99.22
SET       0.320        99.58
SET       0.330        99.78
SET       0.340        99.89
SET       0.350        99.95
SET       0.360        99.97
SET       0.370        99.98
SET       0.380        99.98
SET       0.390        99.99
SET       0.400        99.99
SET       0.410        99.99
SET       0.420        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.500        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.530        99.99
SET       0.560        99.99
SET       0.570        99.99
SET       0.580        99.99
SET       0.590        99.99
SET       0.600        99.99
SET       0.620        99.99
SET       0.630        99.99
SET       0.640        99.99
SET       0.650        99.99
SET       0.660        99.99
SET       0.670        99.99
SET       0.680       100.00
SET       0.700       100.00
SET       0.720       100.00
SET       0.730       100.00
SET       0.740       100.00
SET       0.750       100.00
SET       0.760       100.00
SET       0.770       100.00
SET       0.780       100.00
SET       0.790       100.00
SET       0.800       100.00
SET       0.840       100.00
SET       0.860       100.00
SET       0.890       100.00
SET       0.900       100.00
SET       0.910       100.00
SET       0.930       100.00
SET       0.950       100.00
SET       0.970       100.00
SET       1.100       100.00
SET       1.200       100.00
SET       1.300       100.00
SET       1.400       100.00
SET       1.500       100.00
SET       1.600       100.00
---
---
