5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        52372.28          ---          ---      0.09600     54872.63 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      52372.28         0.00         0.00      0.09600     54872.63 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.042         0.00
SET       0.043         0.00
SET       0.044         0.01
SET       0.045         0.03
SET       0.046         0.06
SET       0.047         0.13
SET       0.048         0.22
SET       0.049         0.27
SET       0.050         0.32
SET       0.051         0.42
SET       0.052         0.66
SET       0.053         1.08
SET       0.054         1.63
SET       0.055         2.15
SET       0.056         2.53
SET       0.057         2.79
SET       0.058         2.98
SET       0.059         3.11
SET       0.060         3.21
SET       0.061         3.28
SET       0.062         3.33
SET       0.063         3.38
SET       0.064         3.43
SET       0.065         3.49
SET       0.066         3.59
SET       0.067         3.76
SET       0.068         4.03
SET       0.069         4.38
SET       0.070         4.77
SET       0.071         5.16
SET       0.072         5.55
SET       0.073         5.94
SET       0.074         6.42
SET       0.075         7.15
SET       0.076         8.44
SET       0.077        10.44
SET       0.078        13.21
SET       0.079        16.62
SET       0.080        20.28
SET       0.081        23.84
SET       0.082        26.97
SET       0.083        29.57
SET       0.084        31.77
SET       0.085        33.56
SET       0.086        35.23
SET       0.087        37.03
SET       0.088        39.07
SET       0.089        41.44
SET       0.090        44.15
SET       0.091        47.06
SET       0.092        50.03
SET       0.093        52.81
SET       0.094        55.21
SET       0.095        57.25
SET       0.096        58.89
SET       0.097        60.22
SET       0.098        61.27
SET       0.099        62.10
SET       0.100        65.29
SET       0.110        79.47
SET       0.120        94.63
SET       0.130        98.19
SET       0.140        99.38
SET       0.150        99.80
SET       0.160        99.91
SET       0.170        99.94
SET       0.180        99.95
SET       0.190        99.96
SET       0.200        99.96
SET       0.210        99.97
SET       0.220        99.98
SET       0.230        99.98
SET       0.240        99.98
SET       0.250        99.98
SET       0.260        99.98
SET       0.270        99.98
SET       0.280        99.98
SET       0.300        99.98
SET       0.330        99.98
SET       0.340        99.98
SET       0.350        99.98
SET       0.370        99.98
SET       0.380        99.98
SET       0.400        99.98
SET       0.410        99.98
SET       0.420        99.98
SET       0.430        99.98
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.500        99.99
SET       0.520        99.99
SET       0.580        99.99
SET       0.600        99.99
SET       0.750        99.99
SET       0.900        99.99
SET       0.910        99.99
SET       0.930        99.99
SET       0.940        99.99
SET       0.950        99.99
SET       0.960        99.99
SET       0.970        99.99
SET       0.980        99.99
SET       0.990        99.99
SET       1.000        99.99
SET       2.100       100.00
SET       2.200       100.00
SET       2.300       100.00
---
---
