10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       290010.25          ---          ---         0.00         0.00      0.10100    303855.86 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     290010.25         0.00         0.00         0.00         0.00      0.10100    303855.86 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.025         0.00
SET       0.026         0.00
SET       0.027         0.00
SET       0.028         0.00
SET       0.029         0.00
SET       0.030         0.00
SET       0.031         0.01
SET       0.032         0.01
SET       0.033         0.01
SET       0.034         0.01
SET       0.035         0.02
SET       0.036         0.03
SET       0.037         0.04
SET       0.038         0.05
SET       0.039         0.06
SET       0.040         0.06
SET       0.041         0.07
SET       0.042         0.08
SET       0.043         0.09
SET       0.044         0.10
SET       0.045         0.12
SET       0.046         0.13
SET       0.047         0.15
SET       0.048         0.17
SET       0.049         0.20
SET       0.050         0.23
SET       0.051         0.25
SET       0.052         0.27
SET       0.053         0.29
SET       0.054         0.31
SET       0.055         0.34
SET       0.056         0.36
SET       0.057         0.39
SET       0.058         0.42
SET       0.059         0.46
SET       0.060         0.50
SET       0.061         0.55
SET       0.062         0.60
SET       0.063         0.67
SET       0.064         0.74
SET       0.065         0.83
SET       0.066         0.94
SET       0.067         1.05
SET       0.068         1.19
SET       0.069         1.36
SET       0.070         1.55
SET       0.071         1.77
SET       0.072         2.03
SET       0.073         2.34
SET       0.074         2.70
SET       0.075         3.14
SET       0.076         3.64
SET       0.077         4.23
SET       0.078         4.92
SET       0.079         5.74
SET       0.080         6.69
SET       0.081         7.82
SET       0.082         9.18
SET       0.083        10.80
SET       0.084        12.67
SET       0.085        14.91
SET       0.086        17.43
SET       0.087        20.27
SET       0.088        23.43
SET       0.089        26.76
SET       0.090        30.20
SET       0.091        33.64
SET       0.092        37.06
SET       0.093        40.37
SET       0.094        43.48
SET       0.095        46.44
SET       0.096        49.24
SET       0.097        51.92
SET       0.098        54.45
SET       0.099        56.94
SET       0.100        67.44
SET       0.110        80.05
SET       0.120        88.40
SET       0.130        94.06
SET       0.140        97.09
SET       0.150        98.53
SET       0.160        99.16
SET       0.170        99.46
SET       0.180        99.63
SET       0.190        99.74
SET       0.200        99.81
SET       0.210        99.85
SET       0.220        99.88
SET       0.230        99.90
SET       0.240        99.91
SET       0.250        99.93
SET       0.260        99.94
SET       0.270        99.95
SET       0.280        99.95
SET       0.290        99.96
SET       0.300        99.96
SET       0.310        99.96
SET       0.320        99.97
SET       0.330        99.97
SET       0.340        99.97
SET       0.350        99.98
SET       0.360        99.98
SET       0.370        99.98
SET       0.380        99.98
SET       0.390        99.98
SET       0.400        99.99
SET       0.410        99.99
SET       0.420        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.500        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.530        99.99
SET       0.550        99.99
SET       0.560        99.99
SET       0.580        99.99
SET       0.600        99.99
SET       0.620        99.99
SET       0.630        99.99
SET       0.670        99.99
SET       0.700        99.99
SET       0.710        99.99
SET       0.720        99.99
SET       0.730        99.99
SET       0.740        99.99
SET       0.750        99.99
SET       0.760        99.99
SET       0.770        99.99
SET       0.780        99.99
SET       0.790       100.00
SET       0.800       100.00
SET       0.810       100.00
SET       0.820       100.00
SET       0.830       100.00
SET       0.840       100.00
SET       0.850       100.00
SET       0.870       100.00
SET       0.890       100.00
SET       0.900       100.00
SET       1.000       100.00
SET       1.100       100.00
SET       1.300       100.00
SET       1.400       100.00
SET       3.400       100.00
---
---
