15        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       300608.55          ---          ---         0.00         0.00      0.14000    314960.14 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     300608.55         0.00         0.00         0.00         0.00      0.14000    314960.14 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023         0.00
SET       0.024         0.00
SET       0.025         0.00
SET       0.026         0.00
SET       0.027         0.00
SET       0.028         0.00
SET       0.029         0.00
SET       0.030         0.00
SET       0.031         0.01
SET       0.032         0.01
SET       0.033         0.01
SET       0.034         0.01
SET       0.035         0.01
SET       0.036         0.01
SET       0.037         0.01
SET       0.038         0.01
SET       0.039         0.02
SET       0.040         0.02
SET       0.041         0.02
SET       0.042         0.02
SET       0.043         0.02
SET       0.044         0.03
SET       0.045         0.03
SET       0.046         0.03
SET       0.047         0.03
SET       0.048         0.03
SET       0.049         0.04
SET       0.050         0.04
SET       0.051         0.04
SET       0.052         0.04
SET       0.053         0.05
SET       0.054         0.05
SET       0.055         0.05
SET       0.056         0.05
SET       0.057         0.05
SET       0.058         0.06
SET       0.059         0.06
SET       0.060         0.06
SET       0.061         0.06
SET       0.062         0.07
SET       0.063         0.07
SET       0.064         0.07
SET       0.065         0.07
SET       0.066         0.07
SET       0.067         0.08
SET       0.068         0.08
SET       0.069         0.09
SET       0.070         0.09
SET       0.071         0.09
SET       0.072         0.10
SET       0.073         0.10
SET       0.074         0.10
SET       0.075         0.10
SET       0.076         0.11
SET       0.077         0.11
SET       0.078         0.11
SET       0.079         0.12
SET       0.080         0.12
SET       0.081         0.12
SET       0.082         0.13
SET       0.083         0.13
SET       0.084         0.14
SET       0.085         0.14
SET       0.086         0.15
SET       0.087         0.16
SET       0.088         0.17
SET       0.089         0.18
SET       0.090         0.19
SET       0.091         0.21
SET       0.092         0.24
SET       0.093         0.27
SET       0.094         0.30
SET       0.095         0.34
SET       0.096         0.40
SET       0.097         0.46
SET       0.098         0.54
SET       0.099         0.63
SET       0.100         1.52
SET       0.110         8.30
SET       0.120        28.52
SET       0.130        52.01
SET       0.140        67.61
SET       0.150        78.82
SET       0.160        86.22
SET       0.170        90.87
SET       0.180        93.92
SET       0.190        95.89
SET       0.200        97.05
SET       0.210        97.85
SET       0.220        98.38
SET       0.230        98.78
SET       0.240        99.12
SET       0.250        99.37
SET       0.260        99.54
SET       0.270        99.64
SET       0.280        99.73
SET       0.290        99.81
SET       0.300        99.86
SET       0.310        99.89
SET       0.320        99.91
SET       0.330        99.93
SET       0.340        99.94
SET       0.350        99.94
SET       0.360        99.95
SET       0.370        99.96
SET       0.380        99.96
SET       0.390        99.97
SET       0.400        99.97
SET       0.410        99.98
SET       0.420        99.98
SET       0.430        99.98
SET       0.440        99.98
SET       0.450        99.98
SET       0.460        99.98
SET       0.470        99.98
SET       0.480        99.98
SET       0.490        99.99
SET       0.500        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.530        99.99
SET       0.540        99.99
SET       0.550        99.99
SET       0.560        99.99
SET       0.570        99.99
SET       0.580        99.99
SET       0.590        99.99
SET       0.600        99.99
SET       0.610        99.99
SET       0.620        99.99
SET       0.630        99.99
SET       0.640        99.99
SET       0.650        99.99
SET       0.660        99.99
SET       0.670        99.99
SET       0.680        99.99
SET       0.690       100.00
SET       0.700       100.00
SET       0.710       100.00
SET       0.720       100.00
SET       0.730       100.00
SET       0.740       100.00
SET       0.760       100.00
SET       0.780       100.00
SET       0.790       100.00
SET       0.800       100.00
SET       0.810       100.00
SET       0.820       100.00
SET       0.840       100.00
SET       0.850       100.00
SET       1.700       100.00
SET       1.800       100.00
SET       1.900       100.00
SET       2.000       100.00
SET       2.100       100.00
SET       2.200       100.00
SET       4.100       100.00
SET       4.200       100.00
SET       4.700       100.00
---
---
