5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       263058.62          ---          ---         0.00         0.00      0.05400    275617.52 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     263058.62         0.00         0.00         0.00         0.00      0.05400    275617.52 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.019         0.00
SET       0.020         0.00
SET       0.021         0.00
SET       0.022         0.01
SET       0.023         0.02
SET       0.024         0.03
SET       0.025         0.06
SET       0.026         0.10
SET       0.027         0.18
SET       0.028         0.26
SET       0.029         0.37
SET       0.030         0.55
SET       0.031         0.79
SET       0.032         1.16
SET       0.033         1.68
SET       0.034         2.32
SET       0.035         3.02
SET       0.036         3.80
SET       0.037         4.76
SET       0.038         5.91
SET       0.039         7.27
SET       0.040         8.94
SET       0.041        10.92
SET       0.042        13.31
SET       0.043        16.08
SET       0.044        19.23
SET       0.045        22.76
SET       0.046        26.52
SET       0.047        30.51
SET       0.048        34.68
SET       0.049        38.89
SET       0.050        43.08
SET       0.051        47.12
SET       0.052        50.91
SET       0.053        54.49
SET       0.054        57.84
SET       0.055        60.95
SET       0.056        63.88
SET       0.057        66.67
SET       0.058        69.31
SET       0.059        71.71
SET       0.060        74.08
SET       0.061        76.32
SET       0.062        78.51
SET       0.063        80.54
SET       0.064        82.50
SET       0.065        84.32
SET       0.066        86.01
SET       0.067        87.63
SET       0.068        89.08
SET       0.069        90.42
SET       0.070        91.58
SET       0.071        92.62
SET       0.072        93.52
SET       0.073        94.29
SET       0.074        94.95
SET       0.075        95.52
SET       0.076        96.03
SET       0.077        96.47
SET       0.078        96.84
SET       0.079        97.17
SET       0.080        97.47
SET       0.081        97.74
SET       0.082        97.97
SET       0.083        98.16
SET       0.084        98.33
SET       0.085        98.49
SET       0.086        98.63
SET       0.087        98.74
SET       0.088        98.86
SET       0.089        98.95
SET       0.090        99.04
SET       0.091        99.12
SET       0.092        99.20
SET       0.093        99.26
SET       0.094        99.32
SET       0.095        99.38
SET       0.096        99.42
SET       0.097        99.46
SET       0.098        99.50
SET       0.099        99.53
SET       0.100        99.65
SET       0.110        99.76
SET       0.120        99.80
SET       0.130        99.84
SET       0.140        99.88
SET       0.150        99.90
SET       0.160        99.92
SET       0.170        99.94
SET       0.180        99.95
SET       0.190        99.96
SET       0.200        99.97
SET       0.210        99.98
SET       0.220        99.98
SET       0.230        99.99
SET       0.240        99.99
SET       0.250        99.99
SET       0.260        99.99
SET       0.270        99.99
SET       0.280        99.99
SET       0.290        99.99
SET       0.300        99.99
SET       0.310        99.99
SET       0.330        99.99
SET       0.340        99.99
SET       0.480       100.00
SET       0.490       100.00
SET       0.500       100.00
SET       0.510       100.00
SET       0.540       100.00
SET       0.550       100.00
SET       0.560       100.00
SET       0.570       100.00
SET       0.580       100.00
SET       0.620       100.00
SET       0.800       100.00
SET       0.820       100.00
SET       0.850       100.00
SET       0.870       100.00
SET       1.400       100.00
SET       2.100       100.00
---
---
