5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       251347.47          ---          ---         0.00         0.00      0.05400    263347.25 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     251347.47         0.00         0.00         0.00         0.00      0.05400    263347.25 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.018         0.00
SET       0.019         0.00
SET       0.020         0.00
SET       0.021         0.01
SET       0.022         0.03
SET       0.023         0.06
SET       0.024         0.10
SET       0.025         0.17
SET       0.026         0.27
SET       0.027         0.42
SET       0.028         0.62
SET       0.029         0.85
SET       0.030         1.15
SET       0.031         1.54
SET       0.032         2.05
SET       0.033         2.65
SET       0.034         3.38
SET       0.035         4.24
SET       0.036         5.30
SET       0.037         6.56
SET       0.038         8.04
SET       0.039         9.73
SET       0.040        11.54
SET       0.041        13.48
SET       0.042        15.55
SET       0.043        17.78
SET       0.044        20.17
SET       0.045        22.80
SET       0.046        25.73
SET       0.047        28.97
SET       0.048        32.69
SET       0.049        36.89
SET       0.050        41.26
SET       0.051        45.59
SET       0.052        49.65
SET       0.053        53.46
SET       0.054        57.21
SET       0.055        60.87
SET       0.056        64.32
SET       0.057        67.48
SET       0.058        70.35
SET       0.059        72.83
SET       0.060        75.05
SET       0.061        77.12
SET       0.062        79.01
SET       0.063        80.89
SET       0.064        82.68
SET       0.065        84.36
SET       0.066        85.95
SET       0.067        87.42
SET       0.068        88.74
SET       0.069        89.93
SET       0.070        90.99
SET       0.071        91.96
SET       0.072        92.81
SET       0.073        93.58
SET       0.074        94.26
SET       0.075        94.85
SET       0.076        95.38
SET       0.077        95.84
SET       0.078        96.24
SET       0.079        96.60
SET       0.080        96.90
SET       0.081        97.17
SET       0.082        97.41
SET       0.083        97.61
SET       0.084        97.79
SET       0.085        97.96
SET       0.086        98.10
SET       0.087        98.24
SET       0.088        98.37
SET       0.089        98.47
SET       0.090        98.57
SET       0.091        98.66
SET       0.092        98.75
SET       0.093        98.83
SET       0.094        98.90
SET       0.095        98.97
SET       0.096        99.03
SET       0.097        99.09
SET       0.098        99.15
SET       0.099        99.20
SET       0.100        99.40
SET       0.110        99.63
SET       0.120        99.72
SET       0.130        99.79
SET       0.140        99.83
SET       0.150        99.87
SET       0.160        99.89
SET       0.170        99.91
SET       0.180        99.93
SET       0.190        99.94
SET       0.200        99.95
SET       0.210        99.96
SET       0.220        99.97
SET       0.230        99.98
SET       0.240        99.98
SET       0.250        99.98
SET       0.260        99.99
SET       0.270        99.99
SET       0.280        99.99
SET       0.290        99.99
SET       0.300        99.99
SET       0.310        99.99
SET       0.320        99.99
SET       0.330        99.99
SET       0.340        99.99
SET       0.350        99.99
SET       0.360        99.99
SET       0.510        99.99
SET       0.570        99.99
SET       0.590        99.99
SET       0.620        99.99
SET       0.650        99.99
SET       0.660       100.00
SET       0.680       100.00
SET       0.800       100.00
SET       0.810       100.00
SET       0.820       100.00
SET       0.860       100.00
SET       0.870       100.00
SET       0.880       100.00
SET       0.890       100.00
SET       0.900       100.00
SET       0.910       100.00
SET       1.700       100.00
SET       2.000       100.00
SET       2.100       100.00
---
---
