5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       178573.53          ---          ---         0.00         0.00      0.08000    187098.95 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     178573.53         0.00         0.00         0.00         0.00      0.08000    187098.95 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.025         0.00
SET       0.026         0.00
SET       0.027         0.00
SET       0.028         0.00
SET       0.029         0.00
SET       0.030         0.01
SET       0.031         0.02
SET       0.032         0.03
SET       0.033         0.04
SET       0.034         0.06
SET       0.035         0.09
SET       0.036         0.12
SET       0.037         0.17
SET       0.038         0.23
SET       0.039         0.33
SET       0.040         0.46
SET       0.041         0.60
SET       0.042         0.74
SET       0.043         0.88
SET       0.044         1.03
SET       0.045         1.20
SET       0.046         1.39
SET       0.047         1.62
SET       0.048         1.89
SET       0.049         2.22
SET       0.050         2.61
SET       0.051         3.09
SET       0.052         3.64
SET       0.053         4.25
SET       0.054         4.99
SET       0.055         5.83
SET       0.056         6.74
SET       0.057         7.75
SET       0.058         8.88
SET       0.059        10.15
SET       0.060        11.59
SET       0.061        13.17
SET       0.062        14.93
SET       0.063        16.85
SET       0.064        18.90
SET       0.065        21.10
SET       0.066        23.33
SET       0.067        25.61
SET       0.068        27.87
SET       0.069        30.11
SET       0.070        32.36
SET       0.071        34.59
SET       0.072        36.79
SET       0.073        38.92
SET       0.074        41.08
SET       0.075        43.23
SET       0.076        45.33
SET       0.077        47.50
SET       0.078        49.58
SET       0.079        51.69
SET       0.080        53.77
SET       0.081        55.81
SET       0.082        57.82
SET       0.083        59.79
SET       0.084        61.67
SET       0.085        63.55
SET       0.086        65.29
SET       0.087        67.01
SET       0.088        68.66
SET       0.089        70.32
SET       0.090        71.94
SET       0.091        73.59
SET       0.092        75.21
SET       0.093        76.88
SET       0.094        78.50
SET       0.095        80.12
SET       0.096        81.68
SET       0.097        83.19
SET       0.098        84.68
SET       0.099        86.06
SET       0.100        91.57
SET       0.110        96.95
SET       0.120        98.77
SET       0.130        99.44
SET       0.140        99.67
SET       0.150        99.77
SET       0.160        99.81
SET       0.170        99.85
SET       0.180        99.88
SET       0.190        99.91
SET       0.200        99.92
SET       0.210        99.93
SET       0.220        99.95
SET       0.230        99.96
SET       0.240        99.97
SET       0.250        99.97
SET       0.260        99.98
SET       0.270        99.98
SET       0.280        99.98
SET       0.290        99.99
SET       0.300        99.99
SET       0.310        99.99
SET       0.320        99.99
SET       0.330        99.99
SET       0.340        99.99
SET       0.350        99.99
SET       0.360        99.99
SET       0.370        99.99
SET       0.380        99.99
SET       0.390        99.99
SET       0.410       100.00
SET       0.420       100.00
SET       0.430       100.00
SET       0.470       100.00
SET       0.540       100.00
SET       0.710       100.00
SET       0.720       100.00
SET       0.730       100.00
SET       0.750       100.00
SET       0.780       100.00
SET       0.790       100.00
SET       0.810       100.00
SET       1.200       100.00
SET       1.700       100.00
SET       1.800       100.00
SET       2.100       100.00
---
---
