20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        71547.92          ---          ---      0.27600     74963.75 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      71547.92         0.00         0.00      0.27600     74963.75 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.051         0.00
SET       0.052         0.00
SET       0.053         0.00
SET       0.054         0.00
SET       0.055         0.00
SET       0.056         0.00
SET       0.057         0.00
SET       0.058         0.00
SET       0.059         0.00
SET       0.060         0.00
SET       0.061         0.00
SET       0.062         0.00
SET       0.063         0.00
SET       0.064         0.00
SET       0.065         0.01
SET       0.066         0.01
SET       0.067         0.01
SET       0.068         0.01
SET       0.069         0.01
SET       0.070         0.01
SET       0.071         0.01
SET       0.072         0.01
SET       0.073         0.01
SET       0.074         0.01
SET       0.075         0.01
SET       0.076         0.01
SET       0.077         0.01
SET       0.078         0.01
SET       0.079         0.01
SET       0.080         0.01
SET       0.081         0.01
SET       0.082         0.01
SET       0.083         0.01
SET       0.084         0.01
SET       0.086         0.01
SET       0.087         0.01
SET       0.088         0.01
SET       0.089         0.01
SET       0.093         0.01
SET       0.094         0.01
SET       0.095         0.01
SET       0.097         0.01
SET       0.098         0.01
SET       0.099         0.01
SET       0.100         0.01
SET       0.110         0.01
SET       0.120         0.01
SET       0.130         0.02
SET       0.140         0.02
SET       0.150         0.02
SET       0.160         0.02
SET       0.170         0.02
SET       0.180         0.03
SET       0.190         0.04
SET       0.200         0.31
SET       0.210         1.37
SET       0.220         6.17
SET       0.230        26.00
SET       0.240        50.90
SET       0.250        68.90
SET       0.260        80.20
SET       0.270        87.73
SET       0.280        91.06
SET       0.290        92.80
SET       0.300        94.00
SET       0.310        95.10
SET       0.320        96.17
SET       0.330        97.11
SET       0.340        97.86
SET       0.350        98.45
SET       0.360        98.90
SET       0.370        99.22
SET       0.380        99.37
SET       0.390        99.46
SET       0.400        99.51
SET       0.410        99.55
SET       0.420        99.57
SET       0.430        99.60
SET       0.440        99.62
SET       0.450        99.63
SET       0.460        99.64
SET       0.470        99.66
SET       0.480        99.69
SET       0.490        99.71
SET       0.500        99.73
SET       0.510        99.74
SET       0.520        99.75
SET       0.530        99.76
SET       0.540        99.77
SET       0.550        99.78
SET       0.560        99.79
SET       0.570        99.79
SET       0.580        99.80
SET       0.590        99.80
SET       0.600        99.81
SET       0.610        99.81
SET       0.620        99.81
SET       0.630        99.81
SET       0.640        99.82
SET       0.650        99.82
SET       0.660        99.82
SET       0.670        99.83
SET       0.680        99.83
SET       0.690        99.83
SET       0.700        99.83
SET       0.710        99.83
SET       0.720        99.84
SET       0.730        99.84
SET       0.740        99.84
SET       0.750        99.84
SET       0.760        99.85
SET       0.770        99.85
SET       0.780        99.85
SET       0.790        99.85
SET       0.800        99.85
SET       0.810        99.85
SET       0.820        99.85
SET       0.830        99.86
SET       0.840        99.86
SET       0.850        99.86
SET       0.860        99.86
SET       0.870        99.86
SET       0.880        99.86
SET       0.890        99.86
SET       0.900        99.86
SET       0.910        99.86
SET       0.920        99.86
