20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        69305.71          ---          ---      0.28600     72614.49 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      69305.71         0.00         0.00      0.28600     72614.49 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.040         0.00
SET       0.041         0.00
SET       0.042         0.00
SET       0.044         0.00
SET       0.045         0.00
SET       0.047         0.00
SET       0.048         0.00
SET       0.049         0.00
SET       0.050         0.00
SET       0.051         0.00
SET       0.052         0.00
SET       0.053         0.00
SET       0.054         0.00
SET       0.055         0.00
SET       0.056         0.01
SET       0.057         0.01
SET       0.058         0.01
SET       0.059         0.01
SET       0.060         0.01
SET       0.061         0.01
SET       0.062         0.01
SET       0.063         0.01
SET       0.064         0.01
SET       0.065         0.01
SET       0.066         0.01
SET       0.067         0.01
SET       0.068         0.01
SET       0.069         0.01
SET       0.070         0.01
SET       0.071         0.01
SET       0.072         0.01
SET       0.073         0.01
SET       0.074         0.01
SET       0.075         0.01
SET       0.076         0.01
SET       0.077         0.01
SET       0.078         0.01
SET       0.079         0.01
SET       0.080         0.01
SET       0.081         0.02
SET       0.082         0.02
SET       0.083         0.02
SET       0.084         0.02
SET       0.085         0.02
SET       0.086         0.02
SET       0.087         0.02
SET       0.088         0.02
SET       0.089         0.02
SET       0.090         0.02
SET       0.091         0.02
SET       0.092         0.02
SET       0.093         0.02
SET       0.094         0.02
SET       0.095         0.02
SET       0.096         0.02
SET       0.097         0.02
SET       0.098         0.02
SET       0.099         0.02
SET       0.100         0.03
SET       0.110         0.03
SET       0.120         0.04
SET       0.130         0.05
SET       0.140         0.06
SET       0.150         0.07
SET       0.160         0.11
SET       0.170         0.16
SET       0.180         0.21
SET       0.190         0.25
SET       0.200         0.30
SET       0.210         0.59
SET       0.220         1.35
SET       0.230         5.13
SET       0.240        23.44
SET       0.250        49.78
SET       0.260        69.64
SET       0.270        80.82
SET       0.280        87.25
SET       0.290        90.66
SET       0.300        92.23
SET       0.310        93.15
SET       0.320        94.11
SET       0.330        95.19
SET       0.340        96.26
SET       0.350        97.11
SET       0.360        97.78
SET       0.370        98.27
SET       0.380        98.64
SET       0.390        98.88
SET       0.400        99.02
SET       0.410        99.10
SET       0.420        99.15
SET       0.430        99.18
SET       0.440        99.20
SET       0.450        99.22
SET       0.460        99.23
SET       0.470        99.25
SET       0.480        99.28
SET       0.490        99.34
SET       0.500        99.41
SET       0.510        99.49
SET       0.520        99.56
SET       0.530        99.63
SET       0.540        99.68
SET       0.550        99.72
SET       0.560        99.75
SET       0.570        99.76
SET       0.580        99.78
SET       0.590        99.79
SET       0.600        99.80
SET       0.610        99.80
SET       0.620        99.81
SET       0.630        99.81
SET       0.640        99.81
SET       0.650        99.82
SET       0.660        99.82
SET       0.670        99.82
SET       0.680        99.82
SET       0.690        99.83
SET       0.700        99.83
SET       0.710        99.83
SET       0.720        99.83
SET       0.730        99.83
SET       0.740        99.84
SET       0.750        99.84
SET       0.760        99.84
SET       0.770        99.84
SET       0.780        99.84
SET       0.790        99.85
SET       0.800        99.85
SET       0.810        99.85
SET       0.820        99.85
SET       0.830        99.85
SET       0.840        99.85
SET       0.850        99.85
SET       0.860        99.85
SET       0.870        99.85
SET       0.880        99.86
SET       0.890        99.86
SET       0.900        99.86
SET       0.910        99.86
SET       0.920        99.86
SET       0.930        99.86
SET       0.940        99.86
SET       0.950        99.86
SET       0.960        99.87
SET       0.970        99.87
SET       0.980        99.87
SET       0.990        99.87
SET       1.000        99.87
SET       1.100        99.88
SET       1.200        99.89
SET       1.300        99.89
SET       1.400        99.89
SET       1.500        99.89
SET       1.600        99.89
SET       1.700        99.90
SET       1.800        99.90
SET       1.900        99.90
SET       2.000        99.90
SET       2.100        99.90
SET       2.200        99.91
SET       2.300        99.91
SET       2.400        99.91
SET       2.500        99.91
SET       2.600        99.91
SET       2.700        99.91
SET       2.800        99.91
SET       2.900        99.91
SET       3.100        99.91
SET       3.200        99.91
SET       3.300        99.91
SET       3.400        99.92
SET       3.500        99.92
SET       3.600        99.92
SET       3.700        99.92
SET       3.800        99.92
SET       3.900        99.92
SET       4.000        99.92
SET       4.100        99.92
SET       4.200        99.92
SET       4.400        99.92
SET       4.500        99.92
SET       4.600        99.93
SET       4.700        99.93
SET       4.800        99.93
SET       4.900        99.93
SET       5.000        99.93
SET       5.100        99.93
SET       5.300        99.93
