5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        51133.33          ---          ---      0.09700     53574.53 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      51133.33         0.00         0.00      0.09700     53574.53 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.041         0.00
SET       0.042         0.00
SET       0.043         0.00
SET       0.044         0.00
SET       0.045         0.01
SET       0.046         0.02
SET       0.047         0.06
SET       0.048         0.15
SET       0.049         0.27
SET       0.050         0.38
SET       0.051         0.46
SET       0.052         0.52
SET       0.053         0.57
SET       0.054         0.61
SET       0.055         0.64
SET       0.056         0.67
SET       0.057         0.69
SET       0.058         0.71
SET       0.059         0.73
SET       0.060         0.76
SET       0.061         0.81
SET       0.062         0.87
SET       0.063         0.97
SET       0.064         1.14
SET       0.065         1.39
SET       0.066         1.74
SET       0.067         2.19
SET       0.068         2.71
SET       0.069         3.27
SET       0.070         3.78
SET       0.071         4.29
SET       0.072         4.74
SET       0.073         5.18
SET       0.074         5.70
SET       0.075         6.47
SET       0.076         7.67
SET       0.077         9.48
SET       0.078        11.87
SET       0.079        14.73
SET       0.080        17.82
SET       0.081        20.91
SET       0.082        23.77
SET       0.083        26.37
SET       0.084        28.79
SET       0.085        31.08
SET       0.086        33.29
SET       0.087        35.60
SET       0.088        38.04
SET       0.089        40.57
SET       0.090        43.15
SET       0.091        45.71
SET       0.092        48.29
SET       0.093        50.66
SET       0.094        52.78
SET       0.095        54.71
SET       0.096        56.34
SET       0.097        57.78
SET       0.098        59.02
SET       0.099        60.12
SET       0.100        64.87
SET       0.110        79.43
SET       0.120        92.78
SET       0.130        97.48
SET       0.140        99.12
SET       0.150        99.65
SET       0.160        99.86
SET       0.170        99.92
SET       0.180        99.95
SET       0.190        99.96
SET       0.200        99.97
SET       0.210        99.97
SET       0.220        99.98
SET       0.230        99.98
SET       0.240        99.98
SET       0.250        99.98
SET       0.260        99.98
SET       0.270        99.98
SET       0.280        99.98
SET       0.290        99.98
SET       0.300        99.98
SET       0.310        99.98
SET       0.320        99.98
SET       0.330        99.99
SET       0.340        99.99
SET       0.350        99.99
SET       0.360        99.99
SET       0.370        99.99
SET       0.380        99.99
SET       0.390        99.99
SET       0.400        99.99
SET       0.410        99.99
SET       0.420        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.530        99.99
SET       0.550        99.99
SET       0.630        99.99
SET       0.670       100.00
SET       0.680       100.00
SET       0.700       100.00
SET       0.710       100.00
SET       0.960       100.00
SET       1.200       100.00
SET       2.000       100.00
SET       2.100       100.00
SET       6.700       100.00
---
---
