10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---         0.00         0.00      0.00000         0.00 
Gets       325482.69    325482.69         0.00         0.00         0.00      0.08900    339432.55 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     325482.69    325482.69         0.00         0.00         0.00      0.08900    339432.55 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.022         0.00
GET       0.023         0.00
GET       0.024         0.00
GET       0.025         0.01
GET       0.026         0.02
GET       0.027         0.03
GET       0.028         0.04
GET       0.029         0.05
GET       0.030         0.06
GET       0.031         0.07
GET       0.032         0.08
GET       0.033         0.09
GET       0.034         0.10
GET       0.035         0.10
GET       0.036         0.11
GET       0.037         0.12
GET       0.038         0.13
GET       0.039         0.14
GET       0.040         0.14
GET       0.041         0.15
GET       0.042         0.15
GET       0.043         0.16
GET       0.044         0.16
GET       0.045         0.17
GET       0.046         0.17
GET       0.047         0.18
GET       0.048         0.18
GET       0.049         0.19
GET       0.050         0.19
GET       0.051         0.20
GET       0.052         0.21
GET       0.053         0.21
GET       0.054         0.22
GET       0.055         0.23
GET       0.056         0.24
GET       0.057         0.25
GET       0.058         0.27
GET       0.059         0.29
GET       0.060         0.31
GET       0.061         0.34
GET       0.062         0.38
GET       0.063         0.44
GET       0.064         0.52
GET       0.065         0.63
GET       0.066         0.76
GET       0.067         0.95
GET       0.068         1.20
GET       0.069         1.54
GET       0.070         2.00
GET       0.071         2.62
GET       0.072         3.46
GET       0.073         4.54
GET       0.074         6.00
GET       0.075         7.84
GET       0.076        10.19
GET       0.077        13.19
GET       0.078        16.88
GET       0.079        21.32
GET       0.080        26.49
GET       0.081        32.09
GET       0.082        37.99
GET       0.083        43.67
GET       0.084        48.80
GET       0.085        53.25
GET       0.086        56.66
GET       0.087        59.36
GET       0.088        61.57
GET       0.089        63.52
GET       0.090        65.28
GET       0.091        66.95
GET       0.092        68.55
GET       0.093        70.11
GET       0.094        71.64
GET       0.095        73.14
GET       0.096        74.56
GET       0.097        75.94
GET       0.098        77.25
GET       0.099        78.54
GET       0.100        84.82
GET       0.110        95.03
GET       0.120        97.92
GET       0.130        98.86
GET       0.140        99.32
GET       0.150        99.55
GET       0.160        99.70
GET       0.170        99.79
GET       0.180        99.84
GET       0.190        99.87
GET       0.200        99.88
GET       0.210        99.89
GET       0.220        99.91
GET       0.230        99.93
GET       0.240        99.94
GET       0.250        99.95
GET       0.260        99.96
GET       0.270        99.96
GET       0.280        99.96
GET       0.290        99.97
GET       0.300        99.97
GET       0.310        99.98
GET       0.320        99.98
GET       0.330        99.98
GET       0.340        99.99
GET       0.350        99.99
GET       0.360        99.99
GET       0.370        99.99
GET       0.380        99.99
GET       0.390        99.99
GET       0.400       100.00
GET       0.410       100.00
GET       0.420       100.00
GET       0.430       100.00
GET       0.440       100.00
GET       0.500       100.00
GET       0.810       100.00
GET       0.840       100.00
GET       0.850       100.00
GET       0.860       100.00
GET       0.870       100.00
GET       0.890       100.00
GET       0.900       100.00
GET       0.910       100.00
GET       0.920       100.00
GET       0.930       100.00
GET       2.800       100.00
---
