10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       288083.57          ---          ---         0.00         0.00      0.10100    301837.19 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     288083.57         0.00         0.00         0.00         0.00      0.10100    301837.19 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.025         0.00
SET       0.026         0.00
SET       0.027         0.00
SET       0.028         0.00
SET       0.029         0.00
SET       0.030         0.01
SET       0.031         0.01
SET       0.032         0.01
SET       0.033         0.02
SET       0.034         0.02
SET       0.035         0.03
SET       0.036         0.03
SET       0.037         0.04
SET       0.038         0.04
SET       0.039         0.05
SET       0.040         0.06
SET       0.041         0.07
SET       0.042         0.08
SET       0.043         0.08
SET       0.044         0.09
SET       0.045         0.09
SET       0.046         0.10
SET       0.047         0.11
SET       0.048         0.12
SET       0.049         0.13
SET       0.050         0.13
SET       0.051         0.14
SET       0.052         0.15
SET       0.053         0.16
SET       0.054         0.17
SET       0.055         0.17
SET       0.056         0.18
SET       0.057         0.19
SET       0.058         0.20
SET       0.059         0.20
SET       0.060         0.21
SET       0.061         0.22
SET       0.062         0.23
SET       0.063         0.24
SET       0.064         0.25
SET       0.065         0.27
SET       0.066         0.29
SET       0.067         0.31
SET       0.068         0.33
SET       0.069         0.37
SET       0.070         0.41
SET       0.071         0.47
SET       0.072         0.54
SET       0.073         0.63
SET       0.074         0.75
SET       0.075         0.90
SET       0.076         1.11
SET       0.077         1.38
SET       0.078         1.73
SET       0.079         2.18
SET       0.080         2.78
SET       0.081         3.56
SET       0.082         4.56
SET       0.083         5.85
SET       0.084         7.46
SET       0.085         9.55
SET       0.086        12.06
SET       0.087        15.14
SET       0.088        18.79
SET       0.089        22.91
SET       0.090        27.49
SET       0.091        32.32
SET       0.092        37.19
SET       0.093        41.90
SET       0.094        46.11
SET       0.095        49.92
SET       0.096        53.31
SET       0.097        56.29
SET       0.098        58.91
SET       0.099        61.12
SET       0.100        68.92
SET       0.110        79.44
SET       0.120        88.41
SET       0.130        95.57
SET       0.140        97.87
SET       0.150        98.70
SET       0.160        99.19
SET       0.170        99.55
SET       0.180        99.77
SET       0.190        99.85
SET       0.200        99.90
SET       0.210        99.92
SET       0.220        99.93
SET       0.230        99.94
SET       0.240        99.95
SET       0.250        99.95
SET       0.260        99.96
SET       0.270        99.96
SET       0.280        99.97
SET       0.290        99.97
SET       0.300        99.98
SET       0.310        99.98
SET       0.320        99.98
SET       0.330        99.99
SET       0.340        99.99
SET       0.350        99.99
SET       0.360        99.99
SET       0.370        99.99
SET       0.380        99.99
SET       0.390        99.99
SET       0.400        99.99
SET       0.410        99.99
SET       0.420        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.500        99.99
SET       0.510        99.99
SET       0.530        99.99
SET       0.540        99.99
SET       0.780       100.00
SET       0.790       100.00
SET       0.800       100.00
SET       0.810       100.00
SET       0.820       100.00
SET       0.830       100.00
SET       0.840       100.00
SET       0.860       100.00
SET       2.100       100.00
SET       2.200       100.00
SET       2.500       100.00
---
---
