10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---         0.00         0.00      0.00000         0.00 
Gets       325192.57    325192.57         0.00         0.00         0.00      0.09000    339129.99 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     325192.57    325192.57         0.00         0.00         0.00      0.09000    339129.99 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.022         0.00
GET       0.023         0.00
GET       0.024         0.01
GET       0.025         0.02
GET       0.026         0.05
GET       0.027         0.07
GET       0.028         0.09
GET       0.029         0.10
GET       0.030         0.11
GET       0.031         0.12
GET       0.032         0.14
GET       0.033         0.15
GET       0.034         0.16
GET       0.035         0.17
GET       0.036         0.18
GET       0.037         0.19
GET       0.038         0.19
GET       0.039         0.20
GET       0.040         0.21
GET       0.041         0.22
GET       0.042         0.23
GET       0.043         0.24
GET       0.044         0.24
GET       0.045         0.25
GET       0.046         0.25
GET       0.047         0.26
GET       0.048         0.26
GET       0.049         0.27
GET       0.050         0.28
GET       0.051         0.28
GET       0.052         0.29
GET       0.053         0.29
GET       0.054         0.30
GET       0.055         0.31
GET       0.056         0.33
GET       0.057         0.34
GET       0.058         0.35
GET       0.059         0.37
GET       0.060         0.40
GET       0.061         0.43
GET       0.062         0.47
GET       0.063         0.52
GET       0.064         0.58
GET       0.065         0.68
GET       0.066         0.79
GET       0.067         0.96
GET       0.068         1.17
GET       0.069         1.46
GET       0.070         1.85
GET       0.071         2.36
GET       0.072         3.07
GET       0.073         3.95
GET       0.074         5.11
GET       0.075         6.62
GET       0.076         8.55
GET       0.077        11.03
GET       0.078        14.17
GET       0.079        18.01
GET       0.080        22.63
GET       0.081        27.74
GET       0.082        33.27
GET       0.083        38.75
GET       0.084        43.95
GET       0.085        48.88
GET       0.086        52.93
GET       0.087        56.27
GET       0.088        58.96
GET       0.089        61.22
GET       0.090        63.17
GET       0.091        64.91
GET       0.092        66.52
GET       0.093        68.10
GET       0.094        69.59
GET       0.095        71.06
GET       0.096        72.52
GET       0.097        73.92
GET       0.098        75.32
GET       0.099        76.66
GET       0.100        82.84
GET       0.110        93.90
GET       0.120        97.71
GET       0.130        98.77
GET       0.140        99.27
GET       0.150        99.55
GET       0.160        99.71
GET       0.170        99.80
GET       0.180        99.86
GET       0.190        99.89
GET       0.200        99.90
GET       0.210        99.91
GET       0.220        99.92
GET       0.230        99.93
GET       0.240        99.94
GET       0.250        99.95
GET       0.260        99.96
GET       0.270        99.96
GET       0.280        99.96
GET       0.290        99.97
GET       0.300        99.97
GET       0.310        99.97
GET       0.320        99.98
GET       0.330        99.98
GET       0.340        99.98
GET       0.350        99.99
GET       0.360        99.99
GET       0.370        99.99
GET       0.380        99.99
GET       0.390        99.99
GET       0.400       100.00
GET       0.410       100.00
GET       0.420       100.00
GET       0.430       100.00
GET       0.440       100.00
GET       0.450       100.00
GET       0.460       100.00
GET       0.470       100.00
GET       0.480       100.00
GET       0.510       100.00
GET       2.800       100.00
---
