10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       194354.54          ---          ---         0.00         0.00      0.15100    203633.38 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     194354.54         0.00         0.00         0.00         0.00      0.15100    203633.38 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.034         0.00
SET       0.035         0.00
SET       0.036         0.00
SET       0.037         0.00
SET       0.038         0.01
SET       0.039         0.01
SET       0.040         0.02
SET       0.041         0.04
SET       0.042         0.06
SET       0.043         0.09
SET       0.044         0.11
SET       0.045         0.12
SET       0.046         0.13
SET       0.047         0.14
SET       0.048         0.14
SET       0.049         0.15
SET       0.050         0.16
SET       0.051         0.17
SET       0.052         0.18
SET       0.053         0.19
SET       0.054         0.21
SET       0.055         0.22
SET       0.056         0.23
SET       0.057         0.24
SET       0.058         0.25
SET       0.059         0.26
SET       0.060         0.26
SET       0.061         0.27
SET       0.062         0.27
SET       0.063         0.28
SET       0.064         0.29
SET       0.065         0.30
SET       0.066         0.31
SET       0.067         0.31
SET       0.068         0.32
SET       0.069         0.33
SET       0.070         0.33
SET       0.071         0.34
SET       0.072         0.34
SET       0.073         0.35
SET       0.074         0.35
SET       0.075         0.36
SET       0.076         0.36
SET       0.077         0.36
SET       0.078         0.37
SET       0.079         0.37
SET       0.080         0.38
SET       0.081         0.38
SET       0.082         0.39
SET       0.083         0.39
SET       0.084         0.40
SET       0.085         0.40
SET       0.086         0.41
SET       0.087         0.41
SET       0.088         0.42
SET       0.089         0.42
SET       0.090         0.43
SET       0.091         0.44
SET       0.092         0.44
SET       0.093         0.45
SET       0.094         0.46
SET       0.095         0.48
SET       0.096         0.50
SET       0.097         0.52
SET       0.098         0.54
SET       0.099         0.58
SET       0.100         0.87
SET       0.110         3.54
SET       0.120        16.09
SET       0.130        42.37
SET       0.140        59.27
SET       0.150        64.79
SET       0.160        68.12
SET       0.170        72.42
SET       0.180        78.49
SET       0.190        86.01
SET       0.200        92.71
SET       0.210        97.13
SET       0.220        98.78
SET       0.230        99.34
SET       0.240        99.58
SET       0.250        99.73
SET       0.260        99.85
SET       0.270        99.91
SET       0.280        99.94
SET       0.290        99.95
SET       0.300        99.96
SET       0.310        99.96
SET       0.320        99.96
SET       0.330        99.97
SET       0.340        99.97
SET       0.350        99.97
SET       0.360        99.98
SET       0.370        99.98
SET       0.380        99.98
SET       0.390        99.98
SET       0.400        99.98
SET       0.410        99.99
SET       0.420        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.500        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.530       100.00
SET       0.540       100.00
SET       0.550       100.00
SET       0.560       100.00
SET       0.590       100.00
SET       0.740       100.00
SET       0.800       100.00
SET       0.870       100.00
SET       0.900       100.00
SET       0.910       100.00
SET       1.000       100.00
SET       1.100       100.00
SET       1.200       100.00
SET       1.300       100.00
SET       2.100       100.00
SET       2.200       100.00
SET       2.900       100.00
---
---
