5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       253531.31          ---          ---         0.00         0.00      0.05500    265635.35 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     253531.31         0.00         0.00         0.00         0.00      0.05500    265635.35 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.019         0.00
SET       0.020         0.00
SET       0.021         0.00
SET       0.022         0.01
SET       0.023         0.02
SET       0.024         0.03
SET       0.025         0.05
SET       0.026         0.09
SET       0.027         0.14
SET       0.028         0.22
SET       0.029         0.31
SET       0.030         0.46
SET       0.031         0.66
SET       0.032         0.93
SET       0.033         1.26
SET       0.034         1.67
SET       0.035         2.14
SET       0.036         2.75
SET       0.037         3.53
SET       0.038         4.45
SET       0.039         5.50
SET       0.040         6.73
SET       0.041         8.15
SET       0.042         9.79
SET       0.043        11.69
SET       0.044        13.94
SET       0.045        16.53
SET       0.046        19.58
SET       0.047        23.01
SET       0.048        27.02
SET       0.049        31.44
SET       0.050        36.14
SET       0.051        40.62
SET       0.052        44.93
SET       0.053        48.98
SET       0.054        52.89
SET       0.055        56.49
SET       0.056        59.81
SET       0.057        62.88
SET       0.058        65.58
SET       0.059        68.03
SET       0.060        70.26
SET       0.061        72.37
SET       0.062        74.43
SET       0.063        76.40
SET       0.064        78.39
SET       0.065        80.39
SET       0.066        82.39
SET       0.067        84.33
SET       0.068        86.13
SET       0.069        87.79
SET       0.070        89.29
SET       0.071        90.59
SET       0.072        91.76
SET       0.073        92.78
SET       0.074        93.67
SET       0.075        94.44
SET       0.076        95.11
SET       0.077        95.69
SET       0.078        96.18
SET       0.079        96.61
SET       0.080        96.99
SET       0.081        97.32
SET       0.082        97.60
SET       0.083        97.83
SET       0.084        98.04
SET       0.085        98.24
SET       0.086        98.41
SET       0.087        98.56
SET       0.088        98.69
SET       0.089        98.81
SET       0.090        98.91
SET       0.091        99.00
SET       0.092        99.08
SET       0.093        99.16
SET       0.094        99.22
SET       0.095        99.28
SET       0.096        99.33
SET       0.097        99.39
SET       0.098        99.43
SET       0.099        99.47
SET       0.100        99.61
SET       0.110        99.75
SET       0.120        99.83
SET       0.130        99.87
SET       0.140        99.91
SET       0.150        99.93
SET       0.160        99.95
SET       0.170        99.97
SET       0.180        99.98
SET       0.190        99.99
SET       0.200        99.99
SET       0.210        99.99
SET       0.220        99.99
SET       0.230        99.99
SET       0.240        99.99
SET       0.250        99.99
SET       0.260       100.00
SET       0.270       100.00
SET       0.280       100.00
SET       0.300       100.00
SET       0.520       100.00
SET       0.530       100.00
SET       0.540       100.00
SET       0.560       100.00
SET       0.580       100.00
SET       0.600       100.00
SET       0.610       100.00
SET       0.620       100.00
SET       0.850       100.00
SET       0.860       100.00
SET       0.880       100.00
SET       1.200       100.00
SET       1.600       100.00
---
---
