5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---         0.00         0.00      0.00000         0.00 
Gets       312155.26    312155.26         0.00         0.00         0.00      0.04700    325533.92 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     312155.26    312155.26         0.00         0.00         0.00      0.04700    325533.92 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.019         0.00
GET       0.020         0.00
GET       0.021         0.01
GET       0.022         0.06
GET       0.023         0.12
GET       0.024         0.18
GET       0.025         0.25
GET       0.026         0.41
GET       0.027         0.75
GET       0.028         1.26
GET       0.029         1.89
GET       0.030         2.71
GET       0.031         3.95
GET       0.032         5.86
GET       0.033         8.47
GET       0.034        11.21
GET       0.035        13.45
GET       0.036        15.43
GET       0.037        17.65
GET       0.038        20.64
GET       0.039        24.50
GET       0.040        28.89
GET       0.041        33.12
GET       0.042        37.12
GET       0.043        41.02
GET       0.044        44.97
GET       0.045        48.93
GET       0.046        52.72
GET       0.047        56.26
GET       0.048        59.65
GET       0.049        62.97
GET       0.050        66.28
GET       0.051        69.56
GET       0.052        72.73
GET       0.053        75.72
GET       0.054        78.53
GET       0.055        81.06
GET       0.056        83.35
GET       0.057        85.37
GET       0.058        87.17
GET       0.059        88.74
GET       0.060        90.13
GET       0.061        91.33
GET       0.062        92.45
GET       0.063        93.41
GET       0.064        94.26
GET       0.065        95.00
GET       0.066        95.64
GET       0.067        96.19
GET       0.068        96.67
GET       0.069        97.08
GET       0.070        97.43
GET       0.071        97.72
GET       0.072        97.98
GET       0.073        98.21
GET       0.074        98.41
GET       0.075        98.59
GET       0.076        98.72
GET       0.077        98.86
GET       0.078        98.97
GET       0.079        99.07
GET       0.080        99.15
GET       0.081        99.22
GET       0.082        99.28
GET       0.083        99.34
GET       0.084        99.39
GET       0.085        99.44
GET       0.086        99.47
GET       0.087        99.51
GET       0.088        99.54
GET       0.089        99.57
GET       0.090        99.60
GET       0.091        99.62
GET       0.092        99.64
GET       0.093        99.66
GET       0.094        99.67
GET       0.095        99.68
GET       0.096        99.69
GET       0.097        99.70
GET       0.098        99.71
GET       0.099        99.72
GET       0.100        99.75
GET       0.110        99.80
GET       0.120        99.83
GET       0.130        99.86
GET       0.140        99.90
GET       0.150        99.93
GET       0.160        99.96
GET       0.170        99.97
GET       0.180        99.99
GET       0.190        99.99
GET       0.200        99.99
GET       0.210        99.99
GET       0.220        99.99
GET       0.230       100.00
GET       0.250       100.00
GET       0.260       100.00
GET       0.280       100.00
GET       0.300       100.00
GET       0.320       100.00
GET       0.340       100.00
GET       0.350       100.00
GET       0.360       100.00
GET       0.370       100.00
GET       0.380       100.00
GET       0.390       100.00
GET       0.400       100.00
GET       0.410       100.00
GET       0.580       100.00
GET       0.610       100.00
GET       0.720       100.00
GET       0.740       100.00
GET       0.850       100.00
GET       1.100       100.00
---
