5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       175031.79          ---          ---         0.00         0.00      0.08200    183388.12 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     175031.79         0.00         0.00         0.00         0.00      0.08200    183388.12 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.032         0.00
SET       0.033         0.00
SET       0.034         0.00
SET       0.035         0.01
SET       0.036         0.01
SET       0.037         0.02
SET       0.038         0.05
SET       0.039         0.08
SET       0.040         0.12
SET       0.041         0.15
SET       0.042         0.17
SET       0.043         0.20
SET       0.044         0.22
SET       0.045         0.25
SET       0.046         0.27
SET       0.047         0.30
SET       0.048         0.35
SET       0.049         0.40
SET       0.050         0.46
SET       0.051         0.55
SET       0.052         0.66
SET       0.053         0.80
SET       0.054         0.99
SET       0.055         1.24
SET       0.056         1.58
SET       0.057         2.02
SET       0.058         2.62
SET       0.059         3.46
SET       0.060         4.50
SET       0.061         5.89
SET       0.062         7.66
SET       0.063         9.83
SET       0.064        12.32
SET       0.065        15.03
SET       0.066        17.83
SET       0.067        20.60
SET       0.068        23.26
SET       0.069        25.86
SET       0.070        28.31
SET       0.071        30.63
SET       0.072        32.89
SET       0.073        35.10
SET       0.074        37.28
SET       0.075        39.47
SET       0.076        41.65
SET       0.077        43.88
SET       0.078        46.05
SET       0.079        48.22
SET       0.080        50.27
SET       0.081        52.17
SET       0.082        54.05
SET       0.083        55.84
SET       0.084        57.50
SET       0.085        59.13
SET       0.086        60.71
SET       0.087        62.26
SET       0.088        63.87
SET       0.089        65.52
SET       0.090        67.25
SET       0.091        69.07
SET       0.092        71.00
SET       0.093        73.11
SET       0.094        75.23
SET       0.095        77.37
SET       0.096        79.53
SET       0.097        81.57
SET       0.098        83.43
SET       0.099        85.20
SET       0.100        92.04
SET       0.110        97.76
SET       0.120        98.99
SET       0.130        99.37
SET       0.140        99.60
SET       0.150        99.74
SET       0.160        99.84
SET       0.170        99.89
SET       0.180        99.92
SET       0.190        99.94
SET       0.200        99.95
SET       0.210        99.96
SET       0.220        99.97
SET       0.230        99.98
SET       0.240        99.98
SET       0.250        99.98
SET       0.260        99.99
SET       0.270        99.99
SET       0.280        99.99
SET       0.290        99.99
SET       0.300        99.99
SET       0.310        99.99
SET       0.320        99.99
SET       0.340        99.99
SET       0.350        99.99
SET       0.360        99.99
SET       0.370        99.99
SET       0.380        99.99
SET       0.390       100.00
SET       0.400       100.00
SET       0.410       100.00
SET       0.420       100.00
SET       0.470       100.00
SET       0.540       100.00
SET       0.580       100.00
SET       0.810       100.00
SET       0.830       100.00
SET       0.850       100.00
SET       0.860       100.00
SET       1.300       100.00
SET       2.100       100.00
SET       2.200       100.00
---
---
