10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets       101753.51    101753.51         0.00      0.09500    106114.56 
Waits           0.00          ---          ---      0.00000          --- 
Totals     101753.51    101753.51         0.00      0.09500    106114.56 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.022         0.00
GET       0.023         0.00
GET       0.024         0.00
GET       0.025         0.01
GET       0.026         0.04
GET       0.027         0.16
GET       0.028         0.30
GET       0.029         0.38
GET       0.030         0.43
GET       0.031         0.45
GET       0.032         0.46
GET       0.033         0.47
GET       0.034         0.49
GET       0.035         0.50
GET       0.036         0.53
GET       0.037         0.55
GET       0.038         0.57
GET       0.039         0.60
GET       0.040         0.62
GET       0.041         0.64
GET       0.042         0.65
GET       0.043         0.67
GET       0.044         0.68
GET       0.045         0.70
GET       0.046         0.72
GET       0.047         0.74
GET       0.048         0.75
GET       0.049         0.77
GET       0.050         0.78
GET       0.051         0.81
GET       0.052         0.83
GET       0.053         0.86
GET       0.054         0.89
GET       0.055         0.93
GET       0.056         0.96
GET       0.057         0.99
GET       0.058         1.01
GET       0.059         1.03
GET       0.060         1.04
GET       0.061         1.05
GET       0.062         1.07
GET       0.063         1.09
GET       0.064         1.12
GET       0.065         1.15
GET       0.066         1.19
GET       0.067         1.23
GET       0.068         1.27
GET       0.069         1.32
GET       0.070         1.40
GET       0.071         1.49
GET       0.072         1.63
GET       0.073         1.83
GET       0.074         2.09
GET       0.075         2.49
GET       0.076         3.09
GET       0.077         4.03
GET       0.078         5.50
GET       0.079         7.58
GET       0.080        10.21
GET       0.081        13.24
GET       0.082        16.58
GET       0.083        20.20
GET       0.084        24.37
GET       0.085        28.92
GET       0.086        33.79
GET       0.087        38.67
GET       0.088        43.06
GET       0.089        46.83
GET       0.090        50.12
GET       0.091        53.10
GET       0.092        55.87
GET       0.093        58.27
GET       0.094        60.39
GET       0.095        62.20
GET       0.096        63.72
GET       0.097        65.00
GET       0.098        66.13
GET       0.099        67.22
GET       0.100        73.22
GET       0.110        84.87
GET       0.120        96.08
GET       0.130        98.85
GET       0.140        99.46
GET       0.150        99.76
GET       0.160        99.84
GET       0.170        99.89
GET       0.180        99.93
GET       0.190        99.95
GET       0.200        99.96
GET       0.210        99.96
GET       0.220        99.96
GET       0.230        99.97
GET       0.240        99.98
GET       0.250        99.98
GET       0.260        99.99
GET       0.270        99.99
GET       0.280        99.99
GET       0.290        99.99
GET       0.300        99.99
GET       0.310        99.99
GET       0.320        99.99
GET       0.330        99.99
GET       0.340        99.99
GET       0.350       100.00
GET       0.360       100.00
GET       0.370       100.00
GET       0.380       100.00
GET       0.390       100.00
GET       0.400       100.00
GET       0.410       100.00
GET       0.420       100.00
GET       0.430       100.00
GET       0.450       100.00
GET       0.460       100.00
GET       0.480       100.00
GET       1.500       100.00
GET       1.600       100.00
GET       1.700       100.00
GET       1.800       100.00
---
