10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        83617.37          ---          ---      0.11700     87609.42 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      83617.37         0.00         0.00      0.11700     87609.42 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.032         0.00
SET       0.034         0.00
SET       0.035         0.00
SET       0.036         0.00
SET       0.037         0.00
SET       0.038         0.01
SET       0.039         0.01
SET       0.040         0.02
SET       0.041         0.03
SET       0.042         0.03
SET       0.043         0.04
SET       0.044         0.05
SET       0.045         0.07
SET       0.046         0.08
SET       0.047         0.10
SET       0.048         0.11
SET       0.049         0.12
SET       0.050         0.12
SET       0.051         0.13
SET       0.052         0.13
SET       0.053         0.13
SET       0.054         0.14
SET       0.055         0.14
SET       0.056         0.15
SET       0.057         0.15
SET       0.058         0.16
SET       0.059         0.17
SET       0.060         0.18
SET       0.061         0.18
SET       0.062         0.19
SET       0.063         0.21
SET       0.064         0.21
SET       0.065         0.22
SET       0.066         0.23
SET       0.067         0.24
SET       0.068         0.24
SET       0.069         0.25
SET       0.070         0.26
SET       0.071         0.27
SET       0.072         0.28
SET       0.073         0.29
SET       0.074         0.30
SET       0.075         0.31
SET       0.076         0.32
SET       0.077         0.33
SET       0.078         0.34
SET       0.079         0.35
SET       0.080         0.36
SET       0.081         0.37
SET       0.082         0.39
SET       0.083         0.41
SET       0.084         0.44
SET       0.085         0.46
SET       0.086         0.49
SET       0.087         0.52
SET       0.088         0.56
SET       0.089         0.60
SET       0.090         0.67
SET       0.091         0.78
SET       0.092         0.94
SET       0.093         1.18
SET       0.094         1.50
SET       0.095         2.00
SET       0.096         2.76
SET       0.097         3.90
SET       0.098         5.49
SET       0.099         7.66
SET       0.100        27.72
SET       0.110        59.88
SET       0.120        74.26
SET       0.130        82.15
SET       0.140        87.38
SET       0.150        95.27
SET       0.160        98.04
SET       0.170        98.62
SET       0.180        98.93
SET       0.190        99.18
SET       0.200        99.48
SET       0.210        99.77
SET       0.220        99.88
SET       0.230        99.93
SET       0.240        99.95
SET       0.250        99.97
SET       0.260        99.97
SET       0.270        99.98
SET       0.280        99.98
SET       0.290        99.98
SET       0.300        99.98
SET       0.310        99.99
SET       0.320        99.99
SET       0.330        99.99
SET       0.340        99.99
SET       0.350        99.99
SET       0.360        99.99
SET       0.370        99.99
SET       0.380        99.99
SET       0.390        99.99
SET       0.400        99.99
SET       0.410        99.99
SET       0.420        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.530        99.99
SET       0.540        99.99
SET       0.560        99.99
SET       0.580        99.99
SET       0.590        99.99
SET       0.640        99.99
SET       0.670       100.00
SET       0.690       100.00
SET       0.700       100.00
SET       0.710       100.00
SET       0.720       100.00
SET       0.740       100.00
SET       0.830       100.00
SET       0.990       100.00
SET       1.100       100.00
SET       1.400       100.00
SET       1.500       100.00
SET       1.600       100.00
SET       2.100       100.00
---
---
