20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        75860.94          ---          ---      0.04600     83112.74 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      75860.94         0.00         0.00      0.04600     83112.74 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.016         0.00
SET       0.017         0.00
SET       0.018         0.01
SET       0.019         0.03
SET       0.020         0.08
SET       0.021         0.14
SET       0.022         0.22
SET       0.023         0.33
SET       0.024         0.48
SET       0.025         0.67
SET       0.026         0.92
SET       0.027         1.22
SET       0.028         1.60
SET       0.029         2.11
SET       0.030         2.88
SET       0.031         4.12
SET       0.032         5.69
SET       0.033         7.84
SET       0.034        10.80
SET       0.035        14.46
SET       0.036        18.69
SET       0.037        23.38
SET       0.038        28.46
SET       0.039        33.71
SET       0.040        39.19
SET       0.041        44.71
SET       0.042        50.09
SET       0.043        55.10
SET       0.044        59.66
SET       0.045        63.75
SET       0.046        67.31
SET       0.047        70.46
SET       0.048        73.28
SET       0.049        75.82
SET       0.050        78.14
SET       0.051        80.31
SET       0.052        82.34
SET       0.053        84.23
SET       0.054        85.98
SET       0.055        87.61
SET       0.056        89.09
SET       0.057        90.38
SET       0.058        91.51
SET       0.059        92.50
SET       0.060        93.36
SET       0.061        94.09
SET       0.062        94.72
SET       0.063        95.24
SET       0.064        95.68
SET       0.065        96.05
SET       0.066        96.35
SET       0.067        96.61
SET       0.068        96.83
SET       0.069        97.01
SET       0.070        97.17
SET       0.071        97.31
SET       0.072        97.43
SET       0.073        97.53
SET       0.074        97.62
SET       0.075        97.70
SET       0.076        97.77
SET       0.077        97.83
SET       0.078        97.88
SET       0.079        97.93
SET       0.080        97.98
SET       0.081        98.02
SET       0.082        98.06
SET       0.083        98.09
SET       0.084        98.12
SET       0.085        98.15
SET       0.086        98.18
SET       0.087        98.21
SET       0.088        98.24
SET       0.089        98.26
SET       0.090        98.28
SET       0.091        98.30
SET       0.092        98.32
SET       0.093        98.35
SET       0.094        98.36
SET       0.095        98.38
SET       0.096        98.40
SET       0.097        98.42
SET       0.098        98.43
SET       0.099        98.45
SET       0.100        98.52
SET       0.110        98.64
SET       0.120        98.73
SET       0.130        98.81
SET       0.140        98.88
SET       0.150        98.94
SET       0.160        99.01
SET       0.170        99.09
SET       0.180        99.18
SET       0.190        99.26
SET       0.200        99.32
SET       0.210        99.37
SET       0.220        99.41
SET       0.230        99.46
SET       0.240        99.50
SET       0.250        99.55
SET       0.260        99.61
SET       0.270        99.67
SET       0.280        99.74
SET       0.290        99.79
SET       0.300        99.83
SET       0.310        99.86
SET       0.320        99.89
SET       0.330        99.91
SET       0.340        99.92
SET       0.350        99.94
SET       0.360        99.95
SET       0.370        99.96
SET       0.380        99.97
SET       0.390        99.97
SET       0.400        99.98
SET       0.410        99.98
SET       0.420        99.98
SET       0.430        99.98
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.500        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.530       100.00
SET       0.540       100.00
SET       0.550       100.00
SET       0.560       100.00
SET       0.570       100.00
SET       0.580       100.00
SET       0.600       100.00
SET       0.610       100.00
SET       0.620       100.00
SET       0.640       100.00
SET       0.650       100.00
SET       0.660       100.00
SET       0.690       100.00
SET       0.700       100.00
SET       0.730       100.00
SET       0.740       100.00
SET       0.760       100.00
SET       0.780       100.00
SET       0.790       100.00
SET       0.800       100.00
SET       0.830       100.00
SET       0.850       100.00
SET       0.860       100.00
SET       0.880       100.00
SET       1.400       100.00
SET       1.500       100.00
SET       1.600       100.00
SET       2.100       100.00
SET       2.200       100.00
SET       2.300       100.00
SET       2.400       100.00
SET       2.500       100.00
SET       2.600       100.00
SET       2.700       100.00
SET       2.800       100.00
---
---
