5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        70033.86          ---          ---      0.06900     73377.40 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      70033.86         0.00         0.00      0.06900     73377.40 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.030         0.00
SET       0.032         0.00
SET       0.033         0.00
SET       0.034         0.00
SET       0.035         0.01
SET       0.036         0.01
SET       0.037         0.01
SET       0.038         0.01
SET       0.039         0.03
SET       0.040         0.16
SET       0.041         0.50
SET       0.042         0.89
SET       0.043         1.14
SET       0.044         1.26
SET       0.045         1.34
SET       0.046         1.40
SET       0.047         1.44
SET       0.048         1.47
SET       0.049         1.50
SET       0.050         1.56
SET       0.051         1.74
SET       0.052         2.11
SET       0.053         2.65
SET       0.054         3.26
SET       0.055         4.14
SET       0.056         5.82
SET       0.057         9.11
SET       0.058        14.34
SET       0.059        20.69
SET       0.060        26.74
SET       0.061        31.98
SET       0.062        35.90
SET       0.063        38.99
SET       0.064        41.41
SET       0.065        43.44
SET       0.066        45.39
SET       0.067        47.41
SET       0.068        49.51
SET       0.069        51.88
SET       0.070        54.60
SET       0.071        57.93
SET       0.072        61.94
SET       0.073        66.55
SET       0.074        71.33
SET       0.075        75.81
SET       0.076        79.71
SET       0.077        82.95
SET       0.078        85.25
SET       0.079        87.05
SET       0.080        88.40
SET       0.081        89.47
SET       0.082        90.33
SET       0.083        91.11
SET       0.084        91.83
SET       0.085        92.53
SET       0.086        93.21
SET       0.087        93.91
SET       0.088        94.61
SET       0.089        95.32
SET       0.090        95.96
SET       0.091        96.55
SET       0.092        97.02
SET       0.093        97.41
SET       0.094        97.72
SET       0.095        97.98
SET       0.096        98.21
SET       0.097        98.42
SET       0.098        98.61
SET       0.099        98.78
SET       0.100        99.39
SET       0.110        99.74
SET       0.120        99.85
SET       0.130        99.88
SET       0.140        99.93
SET       0.150        99.95
SET       0.160        99.96
SET       0.170        99.96
SET       0.180        99.97
SET       0.190        99.98
SET       0.200        99.99
SET       0.210        99.99
SET       0.220        99.99
SET       0.230        99.99
SET       0.240        99.99
SET       0.250        99.99
SET       0.260        99.99
SET       0.270        99.99
SET       0.280        99.99
SET       0.290        99.99
SET       0.320        99.99
SET       0.330        99.99
SET       0.340        99.99
SET       0.410        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.450       100.00
SET       0.500       100.00
SET       0.510       100.00
SET       0.540       100.00
SET       0.570       100.00
SET       0.660       100.00
SET       0.670       100.00
SET       0.940       100.00
SET       0.950       100.00
SET       0.960       100.00
SET       1.400       100.00
SET       1.500       100.00
SET       2.100       100.00
---
---
