10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       270684.86          ---          ---         0.00         0.00      0.10600    283607.84 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     270684.86         0.00         0.00         0.00         0.00      0.10600    283607.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.025         0.00
SET       0.026         0.00
SET       0.027         0.00
SET       0.028         0.00
SET       0.029         0.00
SET       0.030         0.00
SET       0.031         0.01
SET       0.032         0.01
SET       0.033         0.02
SET       0.034         0.02
SET       0.035         0.03
SET       0.036         0.04
SET       0.037         0.05
SET       0.038         0.05
SET       0.039         0.06
SET       0.040         0.06
SET       0.041         0.07
SET       0.042         0.08
SET       0.043         0.08
SET       0.044         0.09
SET       0.045         0.10
SET       0.046         0.11
SET       0.047         0.12
SET       0.048         0.12
SET       0.049         0.13
SET       0.050         0.14
SET       0.051         0.14
SET       0.052         0.15
SET       0.053         0.15
SET       0.054         0.16
SET       0.055         0.16
SET       0.056         0.17
SET       0.057         0.17
SET       0.058         0.17
SET       0.059         0.18
SET       0.060         0.19
SET       0.061         0.20
SET       0.062         0.20
SET       0.063         0.21
SET       0.064         0.23
SET       0.065         0.24
SET       0.066         0.25
SET       0.067         0.27
SET       0.068         0.29
SET       0.069         0.32
SET       0.070         0.34
SET       0.071         0.38
SET       0.072         0.42
SET       0.073         0.48
SET       0.074         0.55
SET       0.075         0.65
SET       0.076         0.76
SET       0.077         0.90
SET       0.078         1.08
SET       0.079         1.32
SET       0.080         1.61
SET       0.081         1.99
SET       0.082         2.48
SET       0.083         3.10
SET       0.084         3.87
SET       0.085         4.84
SET       0.086         6.05
SET       0.087         7.52
SET       0.088         9.29
SET       0.089        11.40
SET       0.090        13.90
SET       0.091        16.78
SET       0.092        20.02
SET       0.093        23.59
SET       0.094        27.28
SET       0.095        31.03
SET       0.096        34.73
SET       0.097        38.41
SET       0.098        42.00
SET       0.099        45.41
SET       0.100        59.48
SET       0.110        74.71
SET       0.120        83.52
SET       0.130        91.11
SET       0.140        95.71
SET       0.150        97.68
SET       0.160        98.53
SET       0.170        99.04
SET       0.180        99.43
SET       0.190        99.69
SET       0.200        99.83
SET       0.210        99.89
SET       0.220        99.92
SET       0.230        99.94
SET       0.240        99.94
SET       0.250        99.95
SET       0.260        99.96
SET       0.270        99.96
SET       0.280        99.97
SET       0.290        99.97
SET       0.300        99.97
SET       0.310        99.98
SET       0.320        99.98
SET       0.330        99.98
SET       0.340        99.98
SET       0.350        99.98
SET       0.360        99.98
SET       0.370        99.99
SET       0.380        99.99
SET       0.390        99.99
SET       0.400        99.99
SET       0.410        99.99
SET       0.420        99.99
SET       0.430        99.99
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.470        99.99
SET       0.480        99.99
SET       0.490        99.99
SET       0.500        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.530        99.99
SET       0.540        99.99
SET       0.730       100.00
SET       0.740       100.00
SET       0.750       100.00
SET       0.760       100.00
SET       0.770       100.00
SET       0.800       100.00
SET       0.820       100.00
SET       0.830       100.00
SET       0.840       100.00
SET       0.860       100.00
SET       1.800       100.00
SET       1.900       100.00
SET       2.100       100.00
SET       2.200       100.00
SET       2.900       100.00
---
---
