5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       250694.80          ---          ---         0.00         0.00      0.05800    262663.42 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     250694.80         0.00         0.00         0.00         0.00      0.05800    262663.42 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.024         0.00
SET       0.025         0.00
SET       0.026         0.00
SET       0.027         0.01
SET       0.028         0.01
SET       0.029         0.02
SET       0.030         0.04
SET       0.031         0.07
SET       0.032         0.12
SET       0.033         0.19
SET       0.034         0.26
SET       0.035         0.37
SET       0.036         0.50
SET       0.037         0.69
SET       0.038         0.94
SET       0.039         1.27
SET       0.040         1.73
SET       0.041         2.34
SET       0.042         3.14
SET       0.043         4.17
SET       0.044         5.48
SET       0.045         7.16
SET       0.046         9.25
SET       0.047        11.86
SET       0.048        15.04
SET       0.049        18.98
SET       0.050        23.56
SET       0.051        28.37
SET       0.052        33.19
SET       0.053        37.85
SET       0.054        42.45
SET       0.055        46.75
SET       0.056        50.77
SET       0.057        54.49
SET       0.058        57.82
SET       0.059        60.82
SET       0.060        63.55
SET       0.061        66.08
SET       0.062        68.47
SET       0.063        70.74
SET       0.064        72.99
SET       0.065        75.23
SET       0.066        77.50
SET       0.067        79.81
SET       0.068        82.05
SET       0.069        84.13
SET       0.070        86.10
SET       0.071        87.87
SET       0.072        89.44
SET       0.073        90.86
SET       0.074        92.09
SET       0.075        93.18
SET       0.076        94.10
SET       0.077        94.90
SET       0.078        95.59
SET       0.079        96.19
SET       0.080        96.69
SET       0.081        97.12
SET       0.082        97.50
SET       0.083        97.81
SET       0.084        98.08
SET       0.085        98.31
SET       0.086        98.51
SET       0.087        98.68
SET       0.088        98.83
SET       0.089        98.96
SET       0.090        99.07
SET       0.091        99.17
SET       0.092        99.25
SET       0.093        99.31
SET       0.094        99.37
SET       0.095        99.42
SET       0.096        99.46
SET       0.097        99.51
SET       0.098        99.54
SET       0.099        99.57
SET       0.100        99.68
SET       0.110        99.79
SET       0.120        99.85
SET       0.130        99.88
SET       0.140        99.91
SET       0.150        99.93
SET       0.160        99.95
SET       0.170        99.96
SET       0.180        99.97
SET       0.190        99.98
SET       0.200        99.98
SET       0.210        99.99
SET       0.220        99.99
SET       0.230        99.99
SET       0.240        99.99
SET       0.250        99.99
SET       0.260        99.99
SET       0.290        99.99
SET       0.300        99.99
SET       0.310        99.99
SET       0.320        99.99
SET       0.330        99.99
SET       0.450        99.99
SET       0.470        99.99
SET       0.520        99.99
SET       0.530        99.99
SET       0.540       100.00
SET       0.550       100.00
SET       0.560       100.00
SET       0.570       100.00
SET       0.580       100.00
SET       0.590       100.00
SET       0.620       100.00
SET       0.640       100.00
SET       0.830       100.00
SET       0.850       100.00
SET       0.870       100.00
SET       1.100       100.00
SET       2.100       100.00
---
---
