5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       245866.86          ---          ---         0.00         0.00      0.05500    257604.98 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     245866.86         0.00         0.00         0.00         0.00      0.05500    257604.98 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.018         0.00
SET       0.019         0.00
SET       0.020         0.01
SET       0.021         0.01
SET       0.022         0.02
SET       0.023         0.03
SET       0.024         0.05
SET       0.025         0.09
SET       0.026         0.15
SET       0.027         0.22
SET       0.028         0.32
SET       0.029         0.45
SET       0.030         0.64
SET       0.031         0.89
SET       0.032         1.22
SET       0.033         1.61
SET       0.034         2.10
SET       0.035         2.70
SET       0.036         3.43
SET       0.037         4.32
SET       0.038         5.39
SET       0.039         6.61
SET       0.040         7.98
SET       0.041         9.53
SET       0.042        11.28
SET       0.043        13.27
SET       0.044        15.55
SET       0.045        18.19
SET       0.046        21.19
SET       0.047        24.55
SET       0.048        28.46
SET       0.049        32.91
SET       0.050        37.64
SET       0.051        42.17
SET       0.052        46.44
SET       0.053        50.47
SET       0.054        54.52
SET       0.055        58.20
SET       0.056        61.42
SET       0.057        64.28
SET       0.058        66.82
SET       0.059        69.10
SET       0.060        71.21
SET       0.061        73.19
SET       0.062        75.12
SET       0.063        76.99
SET       0.064        78.90
SET       0.065        80.77
SET       0.066        82.66
SET       0.067        84.45
SET       0.068        86.13
SET       0.069        87.69
SET       0.070        89.08
SET       0.071        90.29
SET       0.072        91.38
SET       0.073        92.32
SET       0.074        93.11
SET       0.075        93.80
SET       0.076        94.38
SET       0.077        94.89
SET       0.078        95.31
SET       0.079        95.66
SET       0.080        95.97
SET       0.081        96.26
SET       0.082        96.53
SET       0.083        96.76
SET       0.084        96.98
SET       0.085        97.17
SET       0.086        97.37
SET       0.087        97.54
SET       0.088        97.71
SET       0.089        97.86
SET       0.090        98.02
SET       0.091        98.16
SET       0.092        98.31
SET       0.093        98.44
SET       0.094        98.57
SET       0.095        98.69
SET       0.096        98.80
SET       0.097        98.89
SET       0.098        98.98
SET       0.099        99.06
SET       0.100        99.38
SET       0.110        99.67
SET       0.120        99.79
SET       0.130        99.86
SET       0.140        99.89
SET       0.150        99.91
SET       0.160        99.93
SET       0.170        99.94
SET       0.180        99.96
SET       0.190        99.97
SET       0.200        99.97
SET       0.210        99.98
SET       0.220        99.98
SET       0.230        99.99
SET       0.240        99.99
SET       0.250        99.99
SET       0.260        99.99
SET       0.270        99.99
SET       0.280        99.99
SET       0.290        99.99
SET       0.310        99.99
SET       0.370        99.99
SET       0.380        99.99
SET       0.390        99.99
SET       0.540        99.99
SET       0.560        99.99
SET       0.570        99.99
SET       0.580        99.99
SET       0.590       100.00
SET       0.600       100.00
SET       0.610       100.00
SET       0.620       100.00
SET       0.640       100.00
SET       0.650       100.00
SET       0.660       100.00
SET       0.680       100.00
SET       0.770       100.00
SET       0.780       100.00
SET       0.790       100.00
SET       0.820       100.00
SET       1.100       100.00
SET       1.200       100.00
SET       1.800       100.00
---
---
