5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       184100.36          ---          ---         0.00         0.00      0.08000    192889.64 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     184100.36         0.00         0.00         0.00         0.00      0.08000    192889.64 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.028         0.00
SET       0.029         0.00
SET       0.030         0.01
SET       0.031         0.02
SET       0.032         0.02
SET       0.033         0.03
SET       0.034         0.04
SET       0.035         0.05
SET       0.036         0.06
SET       0.037         0.08
SET       0.038         0.11
SET       0.039         0.14
SET       0.040         0.18
SET       0.041         0.23
SET       0.042         0.28
SET       0.043         0.33
SET       0.044         0.38
SET       0.045         0.44
SET       0.046         0.51
SET       0.047         0.60
SET       0.048         0.71
SET       0.049         0.85
SET       0.050         1.02
SET       0.051         1.25
SET       0.052         1.55
SET       0.053         1.92
SET       0.054         2.37
SET       0.055         2.92
SET       0.056         3.59
SET       0.057         4.44
SET       0.058         5.49
SET       0.059         6.71
SET       0.060         8.18
SET       0.061         9.90
SET       0.062        11.99
SET       0.063        14.48
SET       0.064        17.23
SET       0.065        20.14
SET       0.066        23.05
SET       0.067        25.81
SET       0.068        28.40
SET       0.069        30.89
SET       0.070        33.26
SET       0.071        35.56
SET       0.072        37.75
SET       0.073        39.93
SET       0.074        42.05
SET       0.075        44.07
SET       0.076        46.14
SET       0.077        48.18
SET       0.078        50.27
SET       0.079        52.29
SET       0.080        54.30
SET       0.081        56.27
SET       0.082        58.16
SET       0.083        60.03
SET       0.084        61.81
SET       0.085        63.51
SET       0.086        65.20
SET       0.087        66.84
SET       0.088        68.46
SET       0.089        70.08
SET       0.090        71.75
SET       0.091        73.45
SET       0.092        75.27
SET       0.093        77.21
SET       0.094        79.22
SET       0.095        81.19
SET       0.096        83.14
SET       0.097        85.00
SET       0.098        86.70
SET       0.099        88.30
SET       0.100        94.20
SET       0.110        98.69
SET       0.120        99.53
SET       0.130        99.74
SET       0.140        99.82
SET       0.150        99.87
SET       0.160        99.90
SET       0.170        99.92
SET       0.180        99.94
SET       0.190        99.96
SET       0.200        99.97
SET       0.210        99.98
SET       0.220        99.98
SET       0.230        99.99
SET       0.240        99.99
SET       0.250        99.99
SET       0.260        99.99
SET       0.270        99.99
SET       0.300        99.99
SET       0.320        99.99
SET       0.330        99.99
SET       0.340        99.99
SET       0.350        99.99
SET       0.360        99.99
SET       0.380        99.99
SET       0.390       100.00
SET       0.400       100.00
SET       0.410       100.00
SET       0.430       100.00
SET       0.690       100.00
SET       0.700       100.00
SET       0.710       100.00
SET       0.760       100.00
SET       0.790       100.00
SET       0.880       100.00
SET       0.940       100.00
SET       2.000       100.00
SET       2.100       100.00
---
---
