15        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        68357.76          ---          ---      0.21600     71621.29 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      68357.76         0.00         0.00      0.21600     71621.29 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.038         0.00
SET       0.039         0.00
SET       0.040         0.00
SET       0.041         0.01
SET       0.042         0.01
SET       0.043         0.01
SET       0.044         0.01
SET       0.045         0.01
SET       0.046         0.01
SET       0.047         0.01
SET       0.048         0.02
SET       0.049         0.02
SET       0.050         0.02
SET       0.051         0.02
SET       0.052         0.02
SET       0.053         0.02
SET       0.054         0.03
SET       0.055         0.03
SET       0.056         0.03
SET       0.057         0.03
SET       0.058         0.03
SET       0.059         0.03
SET       0.060         0.03
SET       0.061         0.03
SET       0.062         0.04
SET       0.063         0.04
SET       0.064         0.04
SET       0.065         0.04
SET       0.066         0.04
SET       0.067         0.04
SET       0.068         0.04
SET       0.069         0.04
SET       0.070         0.04
SET       0.071         0.04
SET       0.072         0.04
SET       0.073         0.04
SET       0.074         0.04
SET       0.075         0.04
SET       0.076         0.04
SET       0.077         0.04
SET       0.078         0.05
SET       0.079         0.05
SET       0.080         0.05
SET       0.081         0.05
SET       0.082         0.05
SET       0.083         0.06
SET       0.084         0.06
SET       0.085         0.06
SET       0.086         0.06
SET       0.087         0.06
SET       0.088         0.06
SET       0.089         0.06
SET       0.090         0.06
SET       0.091         0.06
SET       0.092         0.07
SET       0.093         0.07
SET       0.094         0.07
SET       0.095         0.07
SET       0.096         0.07
SET       0.097         0.07
SET       0.098         0.07
SET       0.099         0.08
SET       0.100         0.09
SET       0.110         0.15
SET       0.120         0.19
SET       0.130         0.23
SET       0.140         0.28
SET       0.150         0.63
SET       0.160         5.05
SET       0.170        25.30
SET       0.180        49.39
SET       0.190        64.49
