20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        69446.60          ---          ---      0.28400     72762.10 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      69446.60         0.00         0.00      0.28400     72762.10 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.041         0.00
SET       0.042         0.00
SET       0.043         0.00
SET       0.044         0.00
SET       0.045         0.00
SET       0.046         0.00
SET       0.047         0.00
SET       0.048         0.00
SET       0.049         0.00
SET       0.050         0.00
SET       0.051         0.00
SET       0.052         0.00
SET       0.053         0.00
SET       0.054         0.00
SET       0.055         0.00
SET       0.056         0.00
SET       0.057         0.00
SET       0.058         0.00
SET       0.059         0.00
SET       0.060         0.00
SET       0.061         0.00
SET       0.062         0.01
SET       0.063         0.01
SET       0.064         0.01
SET       0.065         0.01
SET       0.068         0.01
SET       0.069         0.01
SET       0.070         0.01
SET       0.071         0.01
SET       0.072         0.01
SET       0.073         0.01
SET       0.074         0.01
SET       0.075         0.01
SET       0.076         0.01
SET       0.077         0.01
SET       0.078         0.01
SET       0.079         0.01
SET       0.080         0.01
SET       0.081         0.01
SET       0.082         0.01
SET       0.083         0.01
SET       0.084         0.01
SET       0.085         0.01
SET       0.086         0.01
SET       0.087         0.01
SET       0.088         0.01
SET       0.089         0.01
SET       0.090         0.01
SET       0.091         0.01
SET       0.092         0.01
SET       0.093         0.01
SET       0.094         0.01
SET       0.095         0.01
SET       0.096         0.01
SET       0.097         0.01
SET       0.098         0.01
SET       0.099         0.01
SET       0.100         0.01
SET       0.110         0.02
SET       0.120         0.02
SET       0.130         0.02
SET       0.140         0.03
SET       0.150         0.03
SET       0.160         0.04
SET       0.170         0.04
SET       0.180         0.05
SET       0.190         0.06
SET       0.200         0.09
SET       0.210         0.39
SET       0.220         4.88
SET       0.230        24.58
SET       0.240        51.23
SET       0.250        67.81
SET       0.260        76.92
SET       0.270        82.32
SET       0.280        85.09
SET       0.290        86.53
SET       0.300        87.82
SET       0.310        89.22
SET       0.320        90.45
SET       0.330        91.81
SET       0.340        93.36
SET       0.350        94.76
SET       0.360        95.71
SET       0.370        96.41
SET       0.380        96.88
SET       0.390        97.20
SET       0.400        97.40
SET       0.410        97.50
SET       0.420        97.57
SET       0.430        97.62
SET       0.440        97.68
SET       0.450        97.76
SET       0.460        97.95
SET       0.470        98.27
SET       0.480        98.64
SET       0.490        98.95
SET       0.500        99.20
SET       0.510        99.40
SET       0.520        99.55
SET       0.530        99.65
SET       0.540        99.72
SET       0.550        99.76
SET       0.560        99.78
SET       0.570        99.80
SET       0.580        99.80
SET       0.590        99.81
SET       0.600        99.82
SET       0.610        99.82
SET       0.620        99.82
SET       0.630        99.83
SET       0.640        99.83
SET       0.650        99.83
SET       0.660        99.83
SET       0.670        99.84
SET       0.680        99.84
SET       0.690        99.84
SET       0.700        99.84
SET       0.710        99.84
SET       0.720        99.84
SET       0.730        99.85
