5         Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        60085.07          ---          ---      0.08600     62953.64 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      60085.07         0.00         0.00      0.08600     62953.64 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.034         0.00
SET       0.035         0.00
SET       0.036         0.00
SET       0.037         0.00
SET       0.038         0.01
SET       0.039         0.02
SET       0.040         0.07
SET       0.041         0.22
SET       0.042         0.41
SET       0.043         0.72
SET       0.044         1.14
SET       0.045         1.67
SET       0.046         2.29
SET       0.047         3.05
SET       0.048         3.76
SET       0.049         4.47
SET       0.050         5.09
SET       0.051         5.54
SET       0.052         5.91
SET       0.053         6.20
SET       0.054         6.46
SET       0.055         6.71
SET       0.056         6.95
SET       0.057         7.19
SET       0.058         7.44
SET       0.059         7.70
SET       0.060         7.99
SET       0.061         8.34
SET       0.062         8.79
SET       0.063         9.46
SET       0.064        10.42
SET       0.065        11.87
SET       0.066        14.03
SET       0.067        17.33
SET       0.068        21.92
SET       0.069        27.59
SET       0.070        32.78
SET       0.071        37.22
SET       0.072        40.84
SET       0.073        43.58
SET       0.074        45.74
SET       0.075        47.56
SET       0.076        49.16
SET       0.077        50.70
SET       0.078        52.12
SET       0.079        53.46
SET       0.080        54.76
SET       0.081        55.95
SET       0.082        57.05
SET       0.083        58.12
SET       0.084        59.21
SET       0.085        60.37
SET       0.086        61.52
SET       0.087        62.75
SET       0.088        64.18
SET       0.089        65.94
SET       0.090        68.17
SET       0.091        70.83
SET       0.092        73.66
SET       0.093        76.33
SET       0.094        78.57
SET       0.095        80.33
SET       0.096        81.77
SET       0.097        82.94
SET       0.098        83.99
SET       0.099        84.95
SET       0.100        89.20
SET       0.110        94.34
SET       0.120        97.49
SET       0.130        99.08
SET       0.140        99.55
SET       0.150        99.73
SET       0.160        99.81
SET       0.170        99.84
SET       0.180        99.86
SET       0.190        99.88
SET       0.200        99.89
SET       0.210        99.90
SET       0.220        99.91
SET       0.230        99.91
SET       0.240        99.92
SET       0.250        99.92
SET       0.260        99.93
SET       0.270        99.93
SET       0.280        99.93
SET       0.290        99.93
SET       0.300        99.93
SET       0.310        99.94
SET       0.320        99.94
SET       0.330        99.94
SET       0.340        99.94
SET       0.350        99.94
SET       0.360        99.94
SET       0.370        99.94
SET       0.380        99.94
SET       0.390        99.94
SET       0.400        99.94
SET       0.410        99.94
SET       0.420        99.94
SET       0.430        99.94
SET       0.440        99.95
SET       0.450        99.95
SET       0.470        99.95
SET       0.480        99.95
SET       0.490        99.95
SET       0.500        99.95
SET       0.510        99.95
SET       0.520        99.95
SET       0.530        99.95
SET       0.540        99.95
SET       0.550        99.95
SET       0.560        99.95
SET       0.570        99.95
SET       0.580        99.95
SET       0.590        99.95
SET       0.600        99.95
SET       0.610        99.95
SET       0.620        99.96
SET       0.630        99.96
SET       0.650        99.96
SET       0.660        99.96
SET       0.670        99.96
SET       0.700        99.96
SET       0.720        99.96
SET       0.730        99.96
SET       0.740        99.96
SET       0.750        99.96
SET       0.760        99.96
SET       0.770        99.96
SET       0.780        99.96
SET       0.790        99.96
SET       0.800        99.96
SET       0.810        99.96
SET       0.820        99.96
SET       0.840        99.96
SET       0.850        99.97
SET       0.860        99.97
SET       0.880        99.97
SET       0.890        99.97
SET       0.900        99.97
SET       0.910        99.97
SET       1.100        99.97
SET       1.200        99.97
SET       1.300        99.97
SET       1.600        99.97
SET       1.700        99.97
SET       2.000        99.97
SET       2.100        99.97
SET       2.200        99.98
SET       2.300        99.98
SET       2.700        99.98
SET       2.800        99.98
SET       2.900        99.98
SET       3.000        99.98
SET       4.400        99.98
SET       5.600        99.98
SET       5.700        99.98
SET       5.800        99.98
SET       6.100        99.98
SET       6.200        99.98
SET       6.300        99.98
SET       6.500        99.99
SET       6.600        99.99
SET       6.700        99.99
SET       7.300        99.99
SET       7.700        99.99
SET       7.800        99.99
SET       7.900        99.99
SET       9.100        99.99
SET       9.200        99.99
SET       9.700        99.99
SET      11.000        99.99
SET      12.000        99.99
SET      16.000        99.99
SET      19.000       100.00
SET      29.000       100.00
SET      32.000       100.00
SET      40.000       100.00
SET      59.000       100.00
SET      85.000       100.00
SET     110.000       100.00
---
---
