20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        61664.74          ---          ---      0.32100     64608.73 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      61664.74         0.00         0.00      0.32100     64608.73 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.043         0.00
SET       0.044         0.00
SET       0.045         0.00
SET       0.046         0.00
SET       0.047         0.00
SET       0.048         0.00
SET       0.049         0.00
SET       0.050         0.00
SET       0.051         0.00
SET       0.052         0.00
SET       0.053         0.00
SET       0.054         0.00
SET       0.055         0.00
SET       0.056         0.00
SET       0.057         0.00
SET       0.058         0.00
SET       0.059         0.00
SET       0.060         0.00
SET       0.061         0.00
SET       0.062         0.00
SET       0.063         0.00
SET       0.064         0.00
SET       0.065         0.00
SET       0.066         0.01
SET       0.067         0.01
SET       0.068         0.01
SET       0.069         0.01
SET       0.070         0.01
SET       0.071         0.01
SET       0.072         0.01
SET       0.073         0.01
SET       0.074         0.01
SET       0.075         0.01
SET       0.076         0.01
SET       0.077         0.01
SET       0.078         0.01
SET       0.079         0.01
SET       0.081         0.01
SET       0.082         0.01
SET       0.083         0.01
SET       0.084         0.01
SET       0.085         0.01
SET       0.086         0.01
SET       0.087         0.01
SET       0.088         0.01
SET       0.089         0.01
SET       0.090         0.01
SET       0.091         0.01
SET       0.092         0.01
SET       0.093         0.01
SET       0.094         0.01
SET       0.095         0.01
SET       0.096         0.01
SET       0.097         0.01
SET       0.098         0.01
SET       0.099         0.01
SET       0.100         0.01
SET       0.110         0.01
SET       0.120         0.02
SET       0.130         0.02
SET       0.140         0.02
SET       0.150         0.03
SET       0.160         0.03
SET       0.170         0.03
SET       0.180         0.04
SET       0.190         0.04
SET       0.200         0.04
SET       0.210         0.05
SET       0.220         0.05
SET       0.230         0.07
SET       0.240         0.09
SET       0.250         0.11
SET       0.260         0.13
SET       0.270         0.82
SET       0.280         8.86
SET       0.290        36.35
SET       0.300        67.03
SET       0.310        76.82
SET       0.320        81.89
SET       0.330        85.30
SET       0.340        86.40
SET       0.350        86.75
SET       0.360        86.96
SET       0.370        87.04
SET       0.380        87.08
SET       0.390        87.13
SET       0.400        87.32
SET       0.410        87.94
SET       0.420        89.07
SET       0.430        90.72
SET       0.440        92.20
SET       0.450        93.55
SET       0.460        95.27
SET       0.470        96.74
SET       0.480        97.29
SET       0.490        97.54
SET       0.500        97.69
SET       0.510        97.74
SET       0.520        97.76
SET       0.530        97.78
SET       0.540        97.80
SET       0.550        97.83
SET       0.560        97.89
SET       0.570        98.04
SET       0.580        98.33
SET       0.590        98.77
SET       0.600        99.24
SET       0.610        99.56
SET       0.620        99.73
SET       0.630        99.84
SET       0.640        99.92
SET       0.650        99.96
SET       0.660        99.97
SET       0.670        99.98
SET       0.680        99.98
SET       0.690        99.98
SET       0.700        99.98
SET       0.710        99.99
SET       0.720        99.99
SET       0.730        99.99
SET       0.740        99.99
SET       0.750        99.99
SET       0.760        99.99
SET       0.770        99.99
SET       0.780        99.99
SET       0.790        99.99
SET       0.800        99.99
SET       0.810        99.99
SET       0.820        99.99
SET       0.830        99.99
SET       0.840        99.99
SET       0.850        99.99
SET       0.860        99.99
SET       0.870        99.99
SET       0.880        99.99
SET       0.900        99.99
SET       0.910        99.99
SET       0.940        99.99
SET       0.950        99.99
SET       0.960        99.99
SET       0.970        99.99
SET       0.980        99.99
SET       0.990        99.99
SET       1.000        99.99
SET       1.100        99.99
SET       1.200        99.99
SET       1.300        99.99
SET       1.400        99.99
SET       2.200        99.99
SET       2.300       100.00
SET       2.400       100.00
SET       2.500       100.00
SET       2.600       100.00
SET       2.700       100.00
---
---
