1         Threads
50        Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        83613.48          ---          ---      0.59700     87605.34 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      83613.48         0.00         0.00      0.59700     87605.34 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.021         0.00
SET       0.022         0.00
SET       0.025         0.00
SET       0.026         0.00
SET       0.027         0.00
SET       0.028         0.00
SET       0.029         0.00
SET       0.030         0.00
SET       0.031         0.00
SET       0.032         0.00
SET       0.033         0.00
SET       0.034         0.00
SET       0.035         0.00
SET       0.036         0.00
SET       0.037         0.00
SET       0.038         0.00
SET       0.039         0.00
SET       0.040         0.00
SET       0.041         0.00
SET       0.042         0.00
SET       0.043         0.00
SET       0.044         0.00
SET       0.045         0.00
SET       0.046         0.00
SET       0.047         0.00
SET       0.048         0.00
SET       0.049         0.00
SET       0.050         0.00
SET       0.051         0.00
SET       0.052         0.00
SET       0.053         0.00
SET       0.054         0.00
SET       0.055         0.00
SET       0.056         0.00
SET       0.057         0.00
SET       0.058         0.01
SET       0.059         0.01
SET       0.060         0.01
SET       0.061         0.01
SET       0.062         0.01
SET       0.063         0.01
SET       0.064         0.01
SET       0.065         0.01
SET       0.066         0.01
SET       0.067         0.01
SET       0.068         0.01
SET       0.069         0.01
SET       0.070         0.01
SET       0.071         0.01
SET       0.072         0.01
SET       0.073         0.01
SET       0.074         0.01
SET       0.075         0.01
SET       0.076         0.01
SET       0.077         0.01
SET       0.078         0.01
SET       0.079         0.01
SET       0.080         0.01
SET       0.081         0.01
SET       0.082         0.01
SET       0.083         0.01
SET       0.084         0.01
SET       0.085         0.01
SET       0.086         0.01
SET       0.087         0.01
SET       0.088         0.01
SET       0.089         0.01
SET       0.090         0.01
SET       0.091         0.01
SET       0.092         0.01
SET       0.093         0.01
SET       0.094         0.01
SET       0.095         0.01
SET       0.096         0.01
SET       0.097         0.01
SET       0.098         0.01
SET       0.099         0.01
SET       0.100         0.01
SET       0.110         0.01
SET       0.120         0.02
SET       0.130         0.02
SET       0.140         0.02
SET       0.150         0.02
SET       0.160         0.02
SET       0.170         0.02
SET       0.180         0.03
SET       0.190         0.04
SET       0.200         0.05
SET       0.210         0.07
SET       0.220         0.09
SET       0.230         0.11
SET       0.240         0.16
SET       0.250         0.22
SET       0.260         0.31
SET       0.270         0.46
SET       0.280         0.66
SET       0.290         0.85
SET       0.300         1.02
SET       0.310         1.21
SET       0.320         1.42
SET       0.330         1.66
SET       0.340         1.92
SET       0.350         2.19
SET       0.360         2.44
SET       0.370         2.70
SET       0.380         2.96
SET       0.390         3.23
SET       0.400         3.52
SET       0.410         3.86
SET       0.420         4.25
SET       0.430         4.71
SET       0.440         5.26
SET       0.450         5.92
SET       0.460         6.82
SET       0.470         8.16
SET       0.480        10.31
SET       0.490        13.68
SET       0.500        18.24
SET       0.510        23.72
SET       0.520        29.69
SET       0.530        35.80
SET       0.540        41.50
SET       0.550        46.39
SET       0.560        50.35
SET       0.570        53.52
SET       0.580        56.17
SET       0.590        58.57
SET       0.600        60.85
SET       0.610        63.01
SET       0.620        65.04
SET       0.630        66.98
SET       0.640        68.83
SET       0.650        70.62
SET       0.660        72.35
SET       0.670        74.01
SET       0.680        75.66
SET       0.690        77.35
SET       0.700        79.18
SET       0.710        81.16
SET       0.720        83.23
SET       0.730        85.30
SET       0.740        87.27
SET       0.750        89.02
SET       0.760        90.57
SET       0.770        91.91
SET       0.780        93.07
SET       0.790        94.03
SET       0.800        94.77
SET       0.810        95.32
SET       0.820        95.75
SET       0.830        96.12
SET       0.840        96.48
SET       0.850        96.83
SET       0.860        97.19
SET       0.870        97.55
SET       0.880        97.92
SET       0.890        98.28
SET       0.900        98.61
SET       0.910        98.91
SET       0.920        99.15
SET       0.930        99.35
SET       0.940        99.49
SET       0.950        99.59
SET       0.960        99.65
SET       0.970        99.68
SET       0.980        99.71
SET       0.990        99.72
SET       1.000        99.77
SET       1.100        99.87
SET       1.200        99.93
SET       1.300        99.93
SET       1.400        99.93
SET       1.500        99.93
SET       1.600        99.93
SET       1.700        99.93
SET       1.800        99.93
SET       1.900        99.93
SET       2.000        99.93
SET       2.100        99.94
SET       2.200        99.94
SET       2.300        99.94
SET       2.400        99.94
SET       2.500        99.94
SET       2.600        99.96
SET       2.700        99.98
SET       2.800        99.99
SET       2.900       100.00
SET       3.000       100.00
SET       3.100       100.00
SET       3.200       100.00
SET       3.300       100.00
SET       3.400       100.00
SET       3.500       100.00
SET       3.600       100.00
SET       3.700       100.00
SET       3.800       100.00
SET       3.900       100.00
SET       4.000       100.00
SET       4.100       100.00
SET       4.400       100.00
SET       4.500       100.00
SET       4.600       100.00
SET       4.700       100.00
SET       4.800       100.00
SET       4.900       100.00
SET       5.000       100.00
SET       5.100       100.00
SET       5.200       100.00
SET       5.300       100.00
SET       5.900       100.00
SET       6.000       100.00
SET       6.100       100.00
---
---
